indb_food_id,indb_food_name,indb_primary_source,indb_source_record_id,normalized_source_id,normalized_source_record_id,food_id,mapping_status
SRC_FOOD_V508,1032,ukfct,SRC_FOOD_V508,SRC-UKFCT,V508,GF-ING-00602,mapped
SRC_FOOD_E064,1033,ifct_nin,SRC_FOOD_E064,SRC-IFCT2017,E064,GF-ING-00225,mapped
SRC_FOOD_G023,1034,ifct_nin,SRC_FOOD_G023,SRC-IFCT2017,G023,GF-ING-00271,mapped
SRC_FOOD_G518,1035,ukfct,SRC_FOOD_G518,SRC-UKFCT,G518,GF-ING-00575,mapped
SRC_FOOD_G540,1036,usda,SRC_FOOD_G540,SRC-USDA-FCT,G540,GF-ING-00706,mapped
SRC_FOOD_E014,1037,ifct_nin,SRC_FOOD_E014,SRC-IFCT2017,E014,GF-ING-00175,mapped
SRC_FOOD_I501,1038,ukfct,SRC_FOOD_I501,SRC-UKFCT,I501,GF-ING-00612,mapped
SRC_FOOD_I504,1039,ukfct,SRC_FOOD_I504,SRC-UKFCT,I504,GF-ING-00663,mapped
SRC_FOOD_H508,1040,usda,SRC_FOOD_H508,SRC-USDA-FCT,H508,GF-ING-00717,mapped
SRC_FOOD_I507,1041,ukfct,SRC_FOOD_I507,SRC-UKFCT,I507,GF-ING-00611,mapped
SRC_FOOD_V501,1042,ukfct,SRC_FOOD_V501,SRC-UKFCT,V501,GF-ING-00576,mapped
SRC_FOOD_E009,1043,ifct_nin,SRC_FOOD_E009,SRC-IFCT2017,E009,GF-ING-00170,mapped
SRC_FOOD_G544,1044,usda,SRC_FOOD_G544,SRC-USDA-FCT,G544,GF-ING-00734,mapped
SRC_FOOD_E036,1045,ifct_nin,SRC_FOOD_E036,SRC-IFCT2017,E036,GF-ING-00197,mapped
SRC_FOOD_nan,1046,ifct_nin,SRC_FOOD_nan,SRC-IFCT2017,nan,,unresolved_source_record
SRC_FOOD_G028,1047,ifct_nin,SRC_FOOD_G028,SRC-IFCT2017,G028,GF-ING-00276,mapped
SRC_FOOD_M001,1048,ifct_nin,SRC_FOOD_M001,SRC-IFCT2017,M001,GF-ING-00315,mapped
SRC_FOOD_L520,1049,ukfct,SRC_FOOD_L520,SRC-UKFCT,L520,GF-ING-00684,mapped
SRC_FOOD_D033,1050,ifct_nin,SRC_FOOD_D033,SRC-IFCT2017,D033,GF-ING-00116,mapped
SRC_FOOD_U511,1051,ukfct,SRC_FOOD_U511,SRC-UKFCT,U511,GF-ING-00557,mapped
SRC_FOOD_L502,1052,ukfct,SRC_FOOD_L502,SRC-UKFCT,L502,GF-ING-00564,mapped
SRC_FOOD_G533,1053,ukfct,SRC_FOOD_G533,SRC-UKFCT,G533,GF-ING-00626,mapped
SRC_FOOD_T501,1054,ukfct,SRC_FOOD_T501,SRC-UKFCT,T501,GF-ING-00562,mapped
SRC_FOOD_D043,1055,ifct_nin,SRC_FOOD_D043,SRC-IFCT2017,D043,GF-ING-00126,mapped
SRC_FOOD_L505,1056,ukfct,SRC_FOOD_L505,SRC-UKFCT,L505,GF-ING-00567,mapped
SRC_FOOD_D075,1057,ifct_nin,SRC_FOOD_D075,SRC-IFCT2017,D075,GF-ING-00158,mapped
SRC_FOOD_N003,1058,ifct_nin,SRC_FOOD_N003,SRC-IFCT2017,N003,GF-ING-00332,mapped
SRC_FOOD_H012,1059,ifct_nin,SRC_FOOD_H012,SRC-IFCT2017,H012,GF-ING-00293,mapped
SRC_FOOD_G008,1060,ifct_nin,SRC_FOOD_G008,SRC-IFCT2017,G008,GF-ING-00256,mapped
SRC_FOOD_X503,1061,ukfct,SRC_FOOD_X503,SRC-UKFCT,X503,GF-ING-00672,mapped
SRC_FOOD_X512,1062,ukfct,SRC_FOOD_X512,SRC-UKFCT,X512,GF-ING-00623,mapped
SRC_FOOD_G535,1063,usda,SRC_FOOD_G535,SRC-USDA-FCT,G535,GF-ING-00726,mapped
SRC_FOOD_C015,1064,ifct_nin,SRC_FOOD_C015,SRC-IFCT2017,C015,GF-ING-00064,mapped
SRC_FOOD_L507,1065,ukfct,SRC_FOOD_L507,SRC-UKFCT,L507,GF-ING-00618,mapped
SRC_FOOD_O503,1066,ukfct,SRC_FOOD_O503,SRC-UKFCT,O503,GF-ING-00650,mapped
SRC_FOOD_J001,1067,ifct_nin,SRC_FOOD_J001,SRC-IFCT2017,J001,GF-ING-00305,mapped
SRC_FOOD_C025,1068,ifct_nin,SRC_FOOD_C025,SRC-IFCT2017,C025,GF-ING-00074,mapped
SRC_FOOD_E001,1069,ifct_nin,SRC_FOOD_E001,SRC-IFCT2017,E001,GF-ING-00162,mapped
SRC_FOOD_E057,1070,ifct_nin,SRC_FOOD_E057,SRC-IFCT2017,E057,GF-ING-00218,mapped
SRC_FOOD_F002,1071,ifct_nin,SRC_FOOD_F002,SRC-IFCT2017,F002,GF-ING-00231,mapped
SRC_FOOD_U502,1072,ukfct,SRC_FOOD_U502,SRC-UKFCT,U502,GF-ING-00556,mapped
SRC_FOOD_L501,1073,usda,SRC_FOOD_L501,SRC-USDA-FCT,L501,GF-ING-00694,mapped
SRC_FOOD_X505,1074,ukfct,SRC_FOOD_X505,SRC-UKFCT,X505,GF-ING-00674,mapped
SRC_FOOD_D061,1075,ifct_nin,SRC_FOOD_D061,SRC-IFCT2017,D061,GF-ING-00144,mapped
SRC_FOOD_F006,1076,ifct_nin,SRC_FOOD_F006,SRC-IFCT2017,F006,GF-ING-00235,mapped
SRC_FOOD_G516,1077,ukfct,SRC_FOOD_G516,SRC-UKFCT,G516,GF-ING-00572,mapped
SRC_FOOD_T508,1078,ukfct,SRC_FOOD_T508,SRC-UKFCT,T508,GF-ING-00630,mapped
SRC_FOOD_L003,1079,ifct_nin,SRC_FOOD_L003,SRC-IFCT2017,L003,GF-ING-00313,mapped
SRC_FOOD_G017,1080,ifct_nin,SRC_FOOD_G017,SRC-IFCT2017,G017,GF-ING-00265,mapped
SRC_FOOD_O502,1081,ukfct,SRC_FOOD_O502,SRC-UKFCT,O502,GF-ING-00615,mapped
SRC_FOOD_U509,1082,ukfct,SRC_FOOD_U509,SRC-UKFCT,U509,GF-ING-00678,mapped
SRC_FOOD_D504,1083,ukfct,SRC_FOOD_D504,SRC-UKFCT,D504,GF-ING-00631,mapped
SRC_FOOD_O501,1084,ukfct,SRC_FOOD_O501,SRC-UKFCT,O501,GF-ING-00609,mapped
SRC_FOOD_H011,1085,ifct_nin,SRC_FOOD_H011,SRC-IFCT2017,H011,GF-ING-00292,mapped
SRC_FOOD_A503,1086,ukfct,SRC_FOOD_A503,SRC-UKFCT,A503,GF-ING-00595,mapped
SRC_FOOD_G547,1087,ukfct,SRC_FOOD_G547,SRC-UKFCT,G547,GF-ING-00658,mapped
SRC_FOOD_G527,1088,ukfct,SRC_FOOD_G527,SRC-UKFCT,G527,GF-ING-00640,mapped
SRC_FOOD_G517,1089,ukfct,SRC_FOOD_G517,SRC-UKFCT,G517,GF-ING-00573,mapped
SRC_FOOD_G541,1090,usda,SRC_FOOD_G541,SRC-USDA-FCT,G541,GF-ING-00715,mapped
SRC_FOOD_A510,1091,usda,SRC_FOOD_A510,SRC-USDA-FCT,A510,GF-ING-00699,mapped
SRC_FOOD_A022,1092,ifct_nin,SRC_FOOD_A022,SRC-IFCT2017,A022,GF-ING-00022,mapped
SRC_FOOD_A508,1093,ukfct,SRC_FOOD_A508,SRC-UKFCT,A508,GF-ING-00644,mapped
SRC_FOOD_A501,1094,ukfct,SRC_FOOD_A501,SRC-UKFCT,A501,GF-ING-00558,mapped
SRC_FOOD_A011,1095,ifct_nin,SRC_FOOD_A011,SRC-IFCT2017,A011,GF-ING-00011,mapped
SRC_FOOD_A012,1096,ifct_nin,SRC_FOOD_A012,SRC-IFCT2017,A012,GF-ING-00012,mapped
SRC_FOOD_G532,1097,ukfct,SRC_FOOD_G532,SRC-UKFCT,G532,GF-ING-00677,mapped
SRC_FOOD_A018,1098,ifct_nin,SRC_FOOD_A018,SRC-IFCT2017,A018,GF-ING-00018,mapped
SRC_FOOD_G012,1099,ifct_nin,SRC_FOOD_G012,SRC-IFCT2017,G012,GF-ING-00260,mapped
SRC_FOOD_D036,1100,ifct_nin,SRC_FOOD_D036,SRC-IFCT2017,D036,GF-ING-00119,mapped
SRC_FOOD_W504,1101,usda,SRC_FOOD_W504,SRC-USDA-FCT,W504,GF-ING-00708,mapped
SRC_FOOD_G020,1102,ifct_nin,SRC_FOOD_G020,SRC-IFCT2017,G020,GF-ING-00268,mapped
SRC_FOOD_H007,1103,ifct_nin,SRC_FOOD_H007,SRC-IFCT2017,H007,GF-ING-00288,mapped
SRC_FOOD_L004,1104,ifct_nin,SRC_FOOD_L004,SRC-IFCT2017,L004,GF-ING-00314,mapped
SRC_FOOD_H505,1105,usda,SRC_FOOD_H505,SRC-USDA-FCT,H505,GF-ING-00714,mapped
SRC_FOOD_O064,1106,ifct_nin,SRC_FOOD_O064,SRC-IFCT2017,O064,,unresolved_source_record
SRC_FOOD_F501,1107,ukfct,SRC_FOOD_F501,SRC-UKFCT,F501,GF-ING-00676,mapped
SRC_FOOD_G512,1108,ukfct,SRC_FOOD_G512,SRC-UKFCT,G512,GF-ING-00548,mapped
SRC_FOOD_K507,1109,ukfct,SRC_FOOD_K507,SRC-UKFCT,K507,GF-ING-00661,mapped
SRC_FOOD_B013,1110,ifct_nin,SRC_FOOD_B013,SRC-IFCT2017,B013,GF-ING-00037,mapped
SRC_FOOD_G009,1111,ifct_nin,SRC_FOOD_G009,SRC-IFCT2017,G009,GF-ING-00257,mapped
SRC_FOOD_M002,1112,ifct_nin,SRC_FOOD_M002,SRC-IFCT2017,M002,GF-ING-00316,mapped
SRC_FOOD_N500,1113,ukfct,SRC_FOOD_N500,SRC-UKFCT,N500,GF-ING-00571,mapped
SRC_FOOD_L519,1114,ukfct,SRC_FOOD_L519,SRC-UKFCT,L519,GF-ING-00583,mapped
SRC_FOOD_C033,1115,ifct_nin,SRC_FOOD_C033,SRC-IFCT2017,C033,GF-ING-00082,mapped
SRC_FOOD_K506,1116,ukfct,SRC_FOOD_K506,SRC-UKFCT,K506,GF-ING-00660,mapped
SRC_FOOD_D503,1117,ukfct,SRC_FOOD_D503,SRC-UKFCT,D503,GF-ING-00666,mapped
SRC_FOOD_X501,1118,ukfct,SRC_FOOD_X501,SRC-UKFCT,X501,GF-ING-00656,mapped
SRC_FOOD_A507,1119,ukfct,SRC_FOOD_A507,SRC-UKFCT,A507,GF-ING-00635,mapped
SRC_FOOD_A024,1120,ifct_nin,SRC_FOOD_A024,SRC-IFCT2017,A024,GF-ING-00024,mapped
SRC_FOOD_B501,1121,ukfct,SRC_FOOD_B501,SRC-UKFCT,B501,GF-ING-00551,mapped
SRC_FOOD_D050,1122,ifct_nin,SRC_FOOD_D050,SRC-IFCT2017,D050,GF-ING-00133,mapped
SRC_FOOD_A019,1123,ifct_nin,SRC_FOOD_A019,SRC-IFCT2017,A019,GF-ING-00019,mapped
SRC_FOOD_T506,1124,ukfct,SRC_FOOD_T506,SRC-UKFCT,T506,GF-ING-00606,mapped
SRC_FOOD_G523,1125,ukfct,SRC_FOOD_G523,SRC-UKFCT,G523,GF-ING-00603,mapped
SRC_FOOD_F010,1126,ifct_nin,SRC_FOOD_F010,SRC-IFCT2017,F010,GF-ING-00239,mapped
SRC_FOOD_B001,1127,ifct_nin,SRC_FOOD_B001,SRC-IFCT2017,B001,GF-ING-00025,mapped
SRC_FOOD_A504,1128,ukfct,SRC_FOOD_A504,SRC-UKFCT,A504,GF-ING-00596,mapped
SRC_FOOD_C020,1129,ifct_nin,SRC_FOOD_C020,SRC-IFCT2017,C020,GF-ING-00069,mapped
SRC_FOOD_B003,1130,ifct_nin,SRC_FOOD_B003,SRC-IFCT2017,B003,GF-ING-00027,mapped
SRC_FOOD_K501,1131,ukfct,SRC_FOOD_K501,SRC-UKFCT,K501,GF-ING-00552,mapped
SRC_FOOD_A014,1132,ifct_nin,SRC_FOOD_A014,SRC-IFCT2017,A014,GF-ING-00014,mapped
SRC_FOOD_G021,1133,ifct_nin,SRC_FOOD_G021,SRC-IFCT2017,G021,GF-ING-00269,mapped
SRC_FOOD_H005,1134,ifct_nin,SRC_FOOD_H005,SRC-IFCT2017,H005,GF-ING-00286,mapped
SRC_FOOD_B509,1135,usda,SRC_FOOD_B509,SRC-USDA-FCT,B509,GF-ING-00698,mapped
SRC_FOOD_G032,1136,ifct_nin,SRC_FOOD_G032,SRC-IFCT2017,G032,GF-ING-00280,mapped
SRC_FOOD_G033,1137,ifct_nin,SRC_FOOD_G033,SRC-IFCT2017,G033,GF-ING-00281,mapped
SRC_FOOD_G529,1138,ukfct,SRC_FOOD_G529,SRC-UKFCT,G529,GF-ING-00648,mapped
SRC_FOOD_G022,1139,ifct_nin,SRC_FOOD_G022,SRC-IFCT2017,G022,GF-ING-00270,mapped
SRC_FOOD_H013,1140,ifct_nin,SRC_FOOD_H013,SRC-IFCT2017,H013,GF-ING-00294,mapped
SRC_FOOD_H001,1141,ifct_nin,SRC_FOOD_H001,SRC-IFCT2017,H001,GF-ING-00282,mapped
SRC_FOOD_H018,1142,ifct_nin,SRC_FOOD_H018,SRC-IFCT2017,H018,GF-ING-00299,mapped
SRC_FOOD_G010,1143,ifct_nin,SRC_FOOD_G010,SRC-IFCT2017,G010,GF-ING-00258,mapped
SRC_FOOD_G019,1144,ifct_nin,SRC_FOOD_G019,SRC-IFCT2017,G019,GF-ING-00267,mapped
SRC_FOOD_G026,1145,ifct_nin,SRC_FOOD_G026,SRC-IFCT2017,G026,GF-ING-00274,mapped
SRC_FOOD_I001,1146,ifct_nin,SRC_FOOD_I001,SRC-IFCT2017,I001,GF-ING-00303,mapped
SRC_FOOD_D037,1147,ifct_nin,SRC_FOOD_D037,SRC-IFCT2017,D037,GF-ING-00120,mapped
SRC_FOOD_G511,1148,ukfct,SRC_FOOD_G511,SRC-UKFCT,G511,GF-ING-00547,mapped
SRC_FOOD_G526,1149,ukfct,SRC_FOOD_G526,SRC-UKFCT,G526,GF-ING-00633,mapped
SRC_FOOD_T502,1150,ukfct,SRC_FOOD_T502,SRC-UKFCT,T502,GF-ING-00628,mapped
SRC_FOOD_L503,1151,ukfct,SRC_FOOD_L503,SRC-UKFCT,L503,GF-ING-00566,mapped
SRC_FOOD_X500,1152,ukfct,SRC_FOOD_X500,SRC-UKFCT,X500,GF-ING-00652,mapped
SRC_FOOD_G510,1153,ukfct,SRC_FOOD_G510,SRC-UKFCT,G510,GF-ING-00594,mapped
SRC_FOOD_K500,1154,ukfct,SRC_FOOD_K500,SRC-UKFCT,K500,GF-ING-00545,mapped
SRC_FOOD_A006,1155,ifct_nin,SRC_FOOD_A006,SRC-IFCT2017,A006,GF-ING-00006,mapped
SRC_FOOD_G536,1156,usda,SRC_FOOD_G536,SRC-USDA-FCT,G536,GF-ING-00685,mapped
SRC_FOOD_B010,1157,ifct_nin,SRC_FOOD_B010,SRC-IFCT2017,B010,GF-ING-00034,mapped
SRC_FOOD_D007,1158,ifct_nin,SRC_FOOD_D007,SRC-IFCT2017,D007,GF-ING-00090,mapped
SRC_FOOD_B011,1159,ifct_nin,SRC_FOOD_B011,SRC-IFCT2017,B011,GF-ING-00035,mapped
SRC_FOOD_B015,1160,ifct_nin,SRC_FOOD_B015,SRC-IFCT2017,B015,GF-ING-00039,mapped
SRC_FOOD_B016,1161,ifct_nin,SRC_FOOD_B016,SRC-IFCT2017,B016,GF-ING-00040,mapped
SRC_FOOD_B004,1162,ifct_nin,SRC_FOOD_B004,SRC-IFCT2017,B004,GF-ING-00028,mapped
SRC_FOOD_B020,1163,ifct_nin,SRC_FOOD_B020,SRC-IFCT2017,B020,GF-ING-00044,mapped
SRC_FOOD_B002,1164,ifct_nin,SRC_FOOD_B002,SRC-IFCT2017,B002,GF-ING-00026,mapped
SRC_FOOD_B005,1165,ifct_nin,SRC_FOOD_B005,SRC-IFCT2017,B005,GF-ING-00029,mapped
SRC_FOOD_B025,1166,ifct_nin,SRC_FOOD_B025,SRC-IFCT2017,B025,GF-ING-00049,mapped
SRC_FOOD_B021,1167,ifct_nin,SRC_FOOD_B021,SRC-IFCT2017,B021,GF-ING-00045,mapped
SRC_FOOD_D031,1168,ifct_nin,SRC_FOOD_D031,SRC-IFCT2017,D031,GF-ING-00114,mapped
SRC_FOOD_D046,1169,ifct_nin,SRC_FOOD_D046,SRC-IFCT2017,D046,GF-ING-00129,mapped
SRC_FOOD_D056,1170,ifct_nin,SRC_FOOD_D056,SRC-IFCT2017,D056,GF-ING-00139,mapped
SRC_FOOD_G024,1171,ifct_nin,SRC_FOOD_G024,SRC-IFCT2017,G024,GF-ING-00272,mapped
SRC_FOOD_E055,1172,ifct_nin,SRC_FOOD_E055,SRC-IFCT2017,E055,GF-ING-00216,mapped
SRC_FOOD_G515,1173,ukfct,SRC_FOOD_G515,SRC-UKFCT,G515,GF-ING-00624,mapped
SRC_FOOD_D059,1174,ifct_nin,SRC_FOOD_D059,SRC-IFCT2017,D059,GF-ING-00142,mapped
SRC_FOOD_D073,1175,ifct_nin,SRC_FOOD_D073,SRC-IFCT2017,D073,GF-ING-00156,mapped
SRC_FOOD_B506,1176,ukfct,SRC_FOOD_B506,SRC-UKFCT,B506,GF-ING-00671,mapped
SRC_FOOD_F005,1177,ifct_nin,SRC_FOOD_F005,SRC-IFCT2017,F005,GF-ING-00234,mapped
SRC_FOOD_E503,1178,ukfct,SRC_FOOD_E503,SRC-UKFCT,E503,GF-ING-00546,mapped
SRC_FOOD_H006,1179,ifct_nin,SRC_FOOD_H006,SRC-IFCT2017,H006,GF-ING-00287,mapped
SRC_FOOD_C008,1180,ifct_nin,SRC_FOOD_C008,SRC-IFCT2017,C008,GF-ING-00057,mapped
SRC_FOOD_C026,1181,ifct_nin,SRC_FOOD_C026,SRC-IFCT2017,C026,GF-ING-00075,mapped
SRC_FOOD_E030,1182,ifct_nin,SRC_FOOD_E030,SRC-IFCT2017,E030,GF-ING-00191,mapped
SRC_FOOD_D066,1183,ifct_nin,SRC_FOOD_D066,SRC-IFCT2017,D066,GF-ING-00149,mapped
SRC_FOOD_F004,1184,ifct_nin,SRC_FOOD_F004,SRC-IFCT2017,F004,GF-ING-00233,mapped
SRC_FOOD_F018,1185,ifct_nin,SRC_FOOD_F018,SRC-IFCT2017,F018,GF-ING-00247,mapped
SRC_FOOD_T507,1186,ukfct,SRC_FOOD_T507,SRC-UKFCT,T507,GF-ING-00627,mapped
SRC_FOOD_G554,1187,ukfct,SRC_FOOD_G554,SRC-UKFCT,G554,GF-ING-00608,mapped
SRC_FOOD_H503,1188,usda,SRC_FOOD_H503,SRC-USDA-FCT,H503,GF-ING-00725,mapped
SRC_FOOD_X504,1189,ukfct,SRC_FOOD_X504,SRC-UKFCT,X504,GF-ING-00673,mapped
SRC_FOOD_S006,1190,ifct_nin,SRC_FOOD_S006,SRC-IFCT2017,S006,GF-ING-00523,mapped
SRC_FOOD_P034,1191,ifct_nin,SRC_FOOD_P034,SRC-IFCT2017,P034,GF-ING-00445,mapped
SRC_FOOD_P057,1192,ifct_nin,SRC_FOOD_P057,SRC-IFCT2017,P057,GF-ING-00468,mapped
SRC_FOOD_E022,1193,ifct_nin,SRC_FOOD_E022,SRC-IFCT2017,E022,GF-ING-00183,mapped
SRC_FOOD_H021,1194,ifct_nin,SRC_FOOD_H021,SRC-IFCT2017,H021,GF-ING-00302,mapped
SRC_FOOD_E511,1195,ukfct,SRC_FOOD_E511,SRC-UKFCT,E511,GF-ING-00569,mapped
SRC_FOOD_B500,1196,ukfct,SRC_FOOD_B500,SRC-UKFCT,B500,GF-ING-00550,mapped
SRC_FOOD_F009,1197,ifct_nin,SRC_FOOD_F009,SRC-IFCT2017,F009,GF-ING-00238,mapped
SRC_FOOD_X509,1198,ukfct,SRC_FOOD_X509,SRC-UKFCT,X509,GF-ING-00591,mapped
SRC_FOOD_L512,1199,ukfct,SRC_FOOD_L512,SRC-UKFCT,L512,GF-ING-00584,mapped
SRC_FOOD_E047,1200,ifct_nin,SRC_FOOD_E047,SRC-IFCT2017,E047,GF-ING-00208,mapped
SRC_FOOD_M003,1201,ifct_nin,SRC_FOOD_M003,SRC-IFCT2017,M003,GF-ING-00317,mapped
SRC_FOOD_I509,1202,ukfct,SRC_FOOD_I509,SRC-UKFCT,I509,GF-ING-00574,mapped
SRC_FOOD_K504,1203,ukfct,SRC_FOOD_K504,SRC-UKFCT,K504,GF-ING-00605,mapped
SRC_FOOD_I510,1204,usda,SRC_FOOD_I510,SRC-USDA-FCT,I510,GF-ING-00692,mapped
SRC_FOOD_K502,1205,ukfct,SRC_FOOD_K502,SRC-UKFCT,K502,GF-ING-00657,mapped
SRC_FOOD_W501,1206,ukfct,SRC_FOOD_W501,SRC-UKFCT,W501,GF-ING-00613,mapped
SRC_FOOD_G552,1207,usda,SRC_FOOD_G552,SRC-USDA-FCT,G552,GF-ING-00719,mapped
SRC_FOOD_I505,1208,ukfct,SRC_FOOD_I505,SRC-UKFCT,I505,GF-ING-00667,mapped
SRC_FOOD_K503,1209,ukfct,SRC_FOOD_K503,SRC-UKFCT,K503,GF-ING-00588,mapped
SRC_FOOD_E516,1210,ukfct,SRC_FOOD_E516,SRC-UKFCT,E516,GF-ING-00599,mapped
SRC_FOOD_W502,1211,ukfct,SRC_FOOD_W502,SRC-UKFCT,W502,GF-ING-00617,mapped
SRC_FOOD_I503,1212,ukfct,SRC_FOOD_I503,SRC-UKFCT,I503,GF-ING-00662,mapped
SRC_FOOD_E017,1213,ifct_nin,SRC_FOOD_E017,SRC-IFCT2017,E017,GF-ING-00178,mapped
SRC_FOOD_W505,1214,usda,SRC_FOOD_W505,SRC-USDA-FCT,W505,GF-ING-00731,mapped
SRC_FOOD_U505,1215,ukfct,SRC_FOOD_U505,SRC-UKFCT,U505,GF-ING-00582,mapped
SRC_FOOD_A505,1216,ukfct,SRC_FOOD_A505,SRC-UKFCT,A505,GF-ING-00597,mapped
SRC_FOOD_U508,1217,usda,SRC_FOOD_U508,SRC-USDA-FCT,U508,GF-ING-00738,mapped
SRC_FOOD_X513,1218,ukfct,SRC_FOOD_X513,SRC-UKFCT,X513,GF-ING-00643,mapped
SRC_FOOD_X514,1219,usda,SRC_FOOD_X514,SRC-USDA-FCT,X514,GF-ING-00716,mapped
SRC_FOOD_I508,1220,ukfct,SRC_FOOD_I508,SRC-UKFCT,I508,GF-ING-00649,mapped
SRC_FOOD_G548,1221,usda,SRC_FOOD_G548,SRC-USDA-FCT,G548,GF-ING-00704,mapped
SRC_FOOD_E514,1222,usda,SRC_FOOD_E514,SRC-USDA-FCT,E514,GF-ING-00703,mapped
SRC_FOOD_B511,1223,usda,SRC_FOOD_B511,SRC-USDA-FCT,B511,GF-ING-00724,mapped
SRC_FOOD_E015,1224,ifct_nin,SRC_FOOD_E015,SRC-IFCT2017,E015,GF-ING-00176,mapped
SRC_FOOD_E506,1225,ukfct,SRC_FOOD_E506,SRC-UKFCT,E506,GF-ING-00665,mapped
SRC_FOOD_I511,1226,usda,SRC_FOOD_I511,SRC-USDA-FCT,I511,GF-ING-00733,mapped
SRC_FOOD_E063,1227,ifct_nin,SRC_FOOD_E063,SRC-IFCT2017,E063,GF-ING-00224,mapped
SRC_FOOD_L510,1228,ukfct,SRC_FOOD_L510,SRC-UKFCT,L510,GF-ING-00622,mapped
SRC_FOOD_G550,1229,usda,SRC_FOOD_G550,SRC-USDA-FCT,G550,GF-ING-00710,mapped
SRC_FOOD_A003,1230,ifct_nin,SRC_FOOD_A003,SRC-IFCT2017,A003,GF-ING-00003,mapped
SRC_FOOD_E035,1231,ifct_nin,SRC_FOOD_E035,SRC-IFCT2017,E035,GF-ING-00196,mapped
SRC_FOOD_E054,1232,ifct_nin,SRC_FOOD_E054,SRC-IFCT2017,E054,GF-ING-00215,mapped
SRC_FOOD_E028,1233,ifct_nin,SRC_FOOD_E028,SRC-IFCT2017,E028,GF-ING-00189,mapped
SRC_FOOD_E507,1234,ukfct,SRC_FOOD_E507,SRC-UKFCT,E507,GF-ING-00542,mapped
SRC_FOOD_T510,1235,usda,SRC_FOOD_T510,SRC-USDA-FCT,T510,GF-ING-00718,mapped
SRC_FOOD_A512,1236,usda,SRC_FOOD_A512,SRC-USDA-FCT,A512,GF-ING-00732,mapped
SRC_FOOD_E505,1237,ukfct,SRC_FOOD_E505,SRC-UKFCT,E505,GF-ING-00646,mapped
SRC_FOOD_G538,1238,usda,SRC_FOOD_G538,SRC-USDA-FCT,G538,GF-ING-00735,mapped
SRC_FOOD_V511,1239,ukfct,SRC_FOOD_V511,SRC-UKFCT,V511,GF-ING-00669,mapped
SRC_FOOD_V505,1240,ukfct,SRC_FOOD_V505,SRC-UKFCT,V505,GF-ING-00593,mapped
SRC_FOOD_O500,1241,ukfct,SRC_FOOD_O500,SRC-UKFCT,O500,GF-ING-00544,mapped
SRC_FOOD_C028,1242,ifct_nin,SRC_FOOD_C028,SRC-IFCT2017,C028,GF-ING-00077,mapped
SRC_FOOD_G520,1243,ukfct,SRC_FOOD_G520,SRC-UKFCT,G520,GF-ING-00587,mapped
SRC_FOOD_C500,1244,ukfct,SRC_FOOD_C500,SRC-UKFCT,C500,GF-ING-00559,mapped
SRC_FOOD_G546,1245,ukfct,SRC_FOOD_G546,SRC-UKFCT,G546,GF-ING-00655,mapped
SRC_FOOD_H501,1246,ukfct,SRC_FOOD_H501,SRC-UKFCT,H501,GF-ING-00577,mapped
