food_id,source_record_id,food_name,preparation,yield_factor,source_id
GF-ING-00070,C021,Garden cress,Washing,0.8133333333,SRC-IFCT2017
GF-ING-00071,C022,"Gogu leaves, green stem","Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00072,C023,"Gogu leaves, red stem","Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00073,C024,"Knol-Khol, leaves","Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00074,C025,Lettuce,"Core removal, Outer leaves removal, Washing",0.8,SRC-IFCT2017
GF-ING-00075,C026,Mustard leaves,"Thicker stem removal, Washing",0.7666666667,SRC-IFCT2017
GF-ING-00076,C027,Pak Choi leaves,"Base trimming, Washing",0.8,SRC-IFCT2017
GF-ING-00077,C028,Parsley,"Thicker stem removal, Washing",0.7666666667,SRC-IFCT2017
GF-ING-00078,C029,Ponnaganni,"Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00079,C030,"Pumpkin leaves, tender","Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00080,C031,Radish leaves,"Thicker stem removal, Washing",0.7666666667,SRC-IFCT2017
GF-ING-00081,C032,Rumex leaves,"Thicker stem removal, Washing",0.7666666667,SRC-IFCT2017
GF-ING-00082,C033,Spinach,"Thicker stem removal, Washing",0.7333333333,SRC-IFCT2017
GF-ING-00083,C034,"Tamarind leaves, tender",Washing,0.7966666667,SRC-IFCT2017
GF-ING-00084,D001,Ash gourd,"Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00085,D002,"Bamboo shoot, tender","Peeling, Trimming",0.6166666667,SRC-IFCT2017
GF-ING-00086,D003,"Bean scarlet, tender","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00087,D004,"Bitter gourd, jagged, teeth ridges, elongate","Washing, Slicing, Removing seeds and core",0.7666666667,SRC-IFCT2017
GF-ING-00088,D005,"Bitter gourd, jagged, teeth ridges, short","Washing, Slicing, Removing seeds and core",0.7666666667,SRC-IFCT2017
GF-ING-00089,D006,"Bitter gourd, jagged, smooth ridges, elongate","Washing, Slicing, Removing seeds and core",0.7666666667,SRC-IFCT2017
GF-ING-00090,D007,"Bottle gourd, elongate, pale green","Peeling, Deseeding",0.75,SRC-IFCT2017
GF-ING-00091,D008,"Bottle gourd, round, pale green","Peeling, Deseeding",0.75,SRC-IFCT2017
GF-ING-00092,D009,"Bottle gourd, elongate, dark green","Peeling, Deseeding",0.75,SRC-IFCT2017
GF-ING-00093,D010,Brinjal 1,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00094,D011,Brinjal 2,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00095,D012,Brinjal 3,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00096,D013,Brinjal 4,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00097,D014,Brinjal 5,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00098,D015,Brinjal 6,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00099,D016,Brinjal 7,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00100,D017,Brinjal 8,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00101,D018,Brinjal 9,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00102,D019,Brinjal 10,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00103,D020,Brinjal 11,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00104,D021,Brinjal 12,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00105,D022,Brinjal 13,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00106,D023,Brinjal 14,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00107,D024,Brinjal 15,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00108,D025,Brinjal 16,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00109,D026,Brinjal 17,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00110,D027,Brinjal 18,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00111,D028,Brinjal 19,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00112,D029,Brinjal 20,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00113,D030,Brinjal 21,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00114,D031,Brinjal - all varieties,"Washing, Stem trimming",0.8583333333,SRC-IFCT2017
GF-ING-00115,D032,Broad beans,Shelling (optional: double podding),0.8,SRC-IFCT2017
GF-ING-00116,D033,"Capsicum, green","Washing, Removing stem and seeds",0.7833333333,SRC-IFCT2017
GF-ING-00117,D034,"Capsicum, red","Washing, Removing stem and seeds",0.7833333333,SRC-IFCT2017
GF-ING-00118,D035,"Capsicum, yellow","Washing, Removing stem and seeds",0.7833333333,SRC-IFCT2017
GF-ING-00119,D036,Cauliflower,"Washing, Separating florets, Trimming core",0.6166666667,SRC-IFCT2017
GF-ING-00120,D037,Celery stalk,"Washing, Trimming base and leaves (optional: peeling)",0.7333333333,SRC-IFCT2017
GF-ING-00121,D038,Cho-cho-marrow,"Peeling, Deseeding",0.7666666667,SRC-IFCT2017
GF-ING-00122,D039,Cluster beans,"Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00123,D040,"Colocasia, stem, black","Washing, Peeling",0.7166666667,SRC-IFCT2017
GF-ING-00124,D041,"Colocasia, stem, green","Washing, Peeling",0.7166666667,SRC-IFCT2017
GF-ING-00125,D042,"Corn, baby","Husking, Silk removal",0.7833333333,SRC-IFCT2017
GF-ING-00126,D043,"Cucumber, green, elongate","Washing, Trimming ends (optional: peeling)",0.8416666667,SRC-IFCT2017
GF-ING-00127,D044,"Cucumber, green, short","Washing, Trimming ends (optional: peeling)",0.8416666667,SRC-IFCT2017
GF-ING-00128,D045,"Cucumber, orange, round","Washing, Trimming ends (optional: peeling)",0.8416666667,SRC-IFCT2017
GF-ING-00129,D046,Drumstick,"Washing, Trimming ends (optional: scraping)",0.7833333333,SRC-IFCT2017
GF-ING-00130,D047,"Field beans, tender, broad","Washing, Shelling (optional: double podding)",0.65,SRC-IFCT2017
GF-ING-00131,D048,"Field beans, tender, lean","Washing, Shelling (optional: double podding)",0.65,SRC-IFCT2017
GF-ING-00132,D049,"French beans, country","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00133,D050,"French beans, hybrid","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00134,D051,"Jack fruit, raw","Peeling, Removing core, Separating flesh and seeds",0.5833333333,SRC-IFCT2017
GF-ING-00135,D052,"Jack fruit, seeds, mature","Washing, Boiling/Roasting, Shell removal",0.7166666667,SRC-IFCT2017
GF-ING-00136,D053,Knol - Khol,"Washing, Trimming root and top, Peeling",0.7666666667,SRC-IFCT2017
GF-ING-00137,D054,"Kovai, big","Washing, Trimming ends",0.84,SRC-IFCT2017
GF-ING-00138,D055,"Kovai, small","Washing, Trimming ends",0.84,SRC-IFCT2017
GF-ING-00139,D056,Ladies finger,"Washing, Stem trimming",0.8733333333,SRC-IFCT2017
GF-ING-00140,D057,"Mango, green, raw","Washing, Peeling, Seed removal",0.6833333333,SRC-IFCT2017
GF-ING-00141,D058,"Onion, stalk","Washing, Trimming ends",0.7666666667,SRC-IFCT2017
GF-ING-00142,D059,"Papaya, raw","Washing, Peeling, Deseeding",0.75,SRC-IFCT2017
GF-ING-00143,D060,Parwar,"Washing, Trimming ends",0.84,SRC-IFCT2017
GF-ING-00144,D061,"Peas, fresh",Shelling,0.6833333333,SRC-IFCT2017
GF-ING-00145,D062,"Plantain, flower","Washing, Separating edible parts",0.6833333333,SRC-IFCT2017
GF-ING-00146,D063,"Plantain, green","Washing, Peeling",0.7,SRC-IFCT2017
GF-ING-00147,D064,"Plantain, stem","Washing, Peeling outer layers",0.6166666667,SRC-IFCT2017
GF-ING-00148,D065,"Pumpkin, green, cylindrical","Washing, Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00149,D066,"Pumpkin, orange, round","Washing, Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00150,D067,"Red gram, tender, fresh","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00151,D068,Ridge gourd,"Washing, Trimming ends, Peeling (optional: deseeding)",0.7833333333,SRC-IFCT2017
GF-ING-00152,D069,"Ridge gourd, smooth skin","Washing, Trimming ends, Peeling (optional: deseeding)",0.7833333333,SRC-IFCT2017
GF-ING-00153,D070,"Snake gourd, long, pale green","Washing, Trimming ends, Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00154,D071,"Snake gourd, long, dark green","Washing, Trimming ends, Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00155,D072,"Snake gourd, short","Washing, Trimming ends, Peeling, Deseeding",0.7333333333,SRC-IFCT2017
GF-ING-00156,D073,"Tinda, tender","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00157,D074,"Tomato, green","Washing, Stem removal",0.8583333333,SRC-IFCT2017
GF-ING-00158,D075,"Tomato, ripe, hybrid","Washing, Stem removal",0.8583333333,SRC-IFCT2017
GF-ING-00159,D076,"Tomato, ripe, local","Washing, Stem removal",0.8583333333,SRC-IFCT2017
GF-ING-00160,D077,"Zucchini, green","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00161,D078,"Zucchini, yellow","Washing, Trimming ends",0.8566666667,SRC-IFCT2017
GF-ING-00162,E001,"Apple, big","Washing, Coring",0.845,SRC-IFCT2017
GF-ING-00163,E002,"Apple, green","Washing, Coring",0.845,SRC-IFCT2017
GF-ING-00164,E003,"Apple, small","Washing, Coring",0.845,SRC-IFCT2017
GF-ING-00165,E004,"Apple, small, Kashmir","Washing, Coring",0.845,SRC-IFCT2017
GF-ING-00166,E005,"Apricot, dried",Washing,0.9483333333,SRC-IFCT2017
GF-ING-00167,E006,"Apricot, processed",,1.0,SRC-IFCT2017
GF-ING-00168,E007,Avocado fruit,"Washing, Pit removal, Skin removal",0.7866666667,SRC-IFCT2017
GF-ING-00169,E008,Bael fruit,"Washing, Shell removal, Pulp extraction",0.6533333333,SRC-IFCT2017
GF-ING-00170,E009,"Banana, ripe, montham",Peeling,0.7283333333,SRC-IFCT2017
GF-ING-00171,E010,"Banana, ripe, poovam",Peeling,0.7283333333,SRC-IFCT2017
GF-ING-00172,E011,"Banana, ripe, red",Peeling,0.7283333333,SRC-IFCT2017
GF-ING-00173,E012,"Banana, ripe, robusta",Peeling,0.7283333333,SRC-IFCT2017
GF-ING-00174,E013,Black berry,Washing,0.9133333333,SRC-IFCT2017
GF-ING-00175,E014,"Cherries, red","Washing, Pitting",0.87,SRC-IFCT2017
GF-ING-00176,E015,"Currants, black","Washing, Destemming",0.9116666667,SRC-IFCT2017
GF-ING-00177,E016,Custard apple,"Washing, Pulp extraction (skin and seeds removed)",0.7033333333,SRC-IFCT2017
GF-ING-00178,E017,"Dates, dry, pale brown","Washing, Pitting",0.9283333333,SRC-IFCT2017
GF-ING-00179,E018,"Dates, dry, dark brown","Washing, Pitting",0.9283333333,SRC-IFCT2017
GF-ING-00180,E019,"Dates, processed",,1.0,SRC-IFCT2017
GF-ING-00181,E020,Fig,"Washing, Stem removal",0.895,SRC-IFCT2017
GF-ING-00182,E021,Goosberry,"Washing, Trimming ends",0.8783333333,SRC-IFCT2017
GF-ING-00183,E022,"Grapes, seeded, round, black","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00184,E023,"Grapes, seeded, round, green","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00185,E024,"Grapes, seeded, round, red","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00186,E025,"Grapes, seedless, oval, black","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00187,E026,"Grapes, seedless, round, green","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00188,E027,"Grapes, seedless, round, black","Washing, Destemming",0.925,SRC-IFCT2017
GF-ING-00189,E028,"Guava, white flesh","Washing, Trimming ends",0.8616666667,SRC-IFCT2017
GF-ING-00190,E029,"Guava, pink flesh","Washing, Trimming ends",0.8616666667,SRC-IFCT2017
GF-ING-00191,E030,"Jack fruit, ripe","Washing, Skin/Core removal, Separating flesh/seeds",0.7033333333,SRC-IFCT2017
GF-ING-00192,E031,"Jambu fruit, ripe","Washing, Stem removal",0.8283333333,SRC-IFCT2017
GF-ING-00193,E032,Karonda fruit,"Washing, Deseeding",0.8033333333,SRC-IFCT2017
GF-ING-00194,E033,"Lemon, juice",Juicing,0.72,SRC-IFCT2017
GF-ING-00195,E034,"Lime, sweet, pulp",Pulp extraction,0.7866666667,SRC-IFCT2017
GF-ING-00196,E035,Litchi,"Washing, Peeling, Deseeding",0.77,SRC-IFCT2017
GF-ING-00197,E036,"Mango, ripe, banganapalli","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00198,E037,"Mango, ripe, gulabkhas","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00199,E038,"Mango, ripe, himsagar","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00200,E039,"Mango, ripe, kesar","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00201,E040,"Mango, ripe, neelam","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00202,E041,"Mango, ripe, paheri","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00203,E042,"Mango, ripe, totapari","Washing, Peeling, Seed removal",0.7033333333,SRC-IFCT2017
GF-ING-00204,E043,Mangosteen,"Washing, Rind removal",0.595,SRC-IFCT2017
GF-ING-00205,E044,Manila tamarind,"Washing, Shelling",0.7033333333,SRC-IFCT2017
GF-ING-00206,E045,"Musk melon, orange flesh","Washing, Rind removal, Deseeding",0.67,SRC-IFCT2017
GF-ING-00207,E046,"Musk melon, yellow flesh","Washing, Rind removal, Deseeding",0.67,SRC-IFCT2017
GF-ING-00208,E047,"Orange, pulp",Pulp extraction,0.82,SRC-IFCT2017
GF-ING-00209,E048,"Palm fruit, tender","Washing, Skin removal, Shell cracking, Kernel extraction",0.575,SRC-IFCT2017
GF-ING-00210,E049,"Papaya, ripe","Washing, Peeling, Deseeding",0.7533333333,SRC-IFCT2017
GF-ING-00211,E050,Peach,"Washing, Pitting (optional: peeling)",0.8616666667,SRC-IFCT2017
GF-ING-00212,E051,Pear,"Washing, Coring (optional: peeling)",0.845,SRC-IFCT2017
GF-ING-00213,E052,Phalsa,"Washing, Stem removal",0.8283333333,SRC-IFCT2017
GF-ING-00214,E053,Pineapple,"Washing, Crown/Base removal, Peeling, Coring",0.6033333333,SRC-IFCT2017
GF-ING-00215,E054,Plum,"Washing, Pitting",0.8783333333,SRC-IFCT2017
GF-ING-00216,E055,"Pomegranate, maroon seeds","Washing, Seed extraction",0.6366666667,SRC-IFCT2017
GF-ING-00217,E056,Pummelo,"Washing, Rind/Pith removal, Segment separation",0.6366666667,SRC-IFCT2017
GF-ING-00218,E057,"Raisins, dried, black","Washing, Destemming",0.9433333333,SRC-IFCT2017
GF-ING-00219,E058,"Raisins, dried, golden","Washing, Destemming",0.9433333333,SRC-IFCT2017
GF-ING-00220,E059,Rambutan,"Washing, Peeling, Deseeding",0.67,SRC-IFCT2017
GF-ING-00221,E060,Sapota,"Washing, Skin removal, Deseeding",0.77,SRC-IFCT2017
GF-ING-00222,E061,Soursop,"Washing, Pulp extraction (skin and seeds removed)",0.7033333333,SRC-IFCT2017
GF-ING-00223,E062,Star fruit,"Washing, Trimming ends",0.8783333333,SRC-IFCT2017
GF-ING-00224,E063,Strawberry,"Washing, Hull removal",0.9116666667,SRC-IFCT2017
GF-ING-00225,E064,"Tamarind, pulp",Pulp extraction,0.8533333333,SRC-IFCT2017
GF-ING-00226,E065,"Water melon, dark green (sugar baby)","Washing, Rind removal, Deseeding",0.67,SRC-IFCT2017
GF-ING-00227,E066,"Water melon, pale green","Washing, Rind removal, Deseeding",0.67,SRC-IFCT2017
GF-ING-00228,E067,Wood apple,"Washing, Shell removal, Pulp extraction",0.6366666667,SRC-IFCT2017
GF-ING-00229,E068,Zizyphus,"Washing, Pitting",0.8283333333,SRC-IFCT2017
GF-ING-00230,F001,Beetroot,"Washing, Trimming, Peeling",0.7833333333,SRC-IFCT2017
GF-ING-00231,F002,"Carrot, orange","Washing, Trimming, Peeling",0.7833333333,SRC-IFCT2017
GF-ING-00232,F003,"Carrot, red","Washing, Trimming, Peeling",0.7833333333,SRC-IFCT2017
GF-ING-00233,F004,Colocasia,"Washing, Trimming, Peeling",0.7333333333,SRC-IFCT2017
GF-ING-00234,F005,Lotus root,"Washing, Trimming, Peeling",0.75,SRC-IFCT2017
GF-ING-00235,F006,"Potato, brown skin, big","Washing, Peeling",0.7333333333,SRC-IFCT2017
GF-ING-00236,F007,"Potato, brown skin, small","Washing, Peeling",0.7333333333,SRC-IFCT2017
GF-ING-00237,F008,"Potato, red skin","Washing, Peeling",0.7333333333,SRC-IFCT2017
GF-ING-00238,F009,"Radish, elongate, red skin","Washing, Trimming (optional: peeling)",0.7916666667,SRC-IFCT2017
GF-ING-00239,F010,"Radish, elongate, white skin","Washing, Trimming (optional: peeling)",0.7916666667,SRC-IFCT2017
GF-ING-00240,F011,"Radish, round, red skin","Washing, Trimming (optional: peeling)",0.7916666667,SRC-IFCT2017
GF-ING-00241,F012,"Radish, round, white skin","Washing, Trimming (optional: peeling)",0.7916666667,SRC-IFCT2017
GF-ING-00242,F013,"Sweet potato, brown skin","Washing, Trimming, Peeling",0.7666666667,SRC-IFCT2017
GF-ING-00243,F014,"Sweet potato, pink skin","Washing, Trimming, Peeling",0.7666666667,SRC-IFCT2017
GF-ING-00244,F015,Tapioca,"Washing, Trimming, Peeling",0.7,SRC-IFCT2017
GF-ING-00245,F016,Water Chestnut,"Washing, Peeling",0.7333333333,SRC-IFCT2017
GF-ING-00246,F017,"Yam, elephant","Washing, Trimming, Peeling",0.7166666667,SRC-IFCT2017
GF-ING-00247,F018,"Yam, ordinary","Washing, Trimming, Peeling",0.7166666667,SRC-IFCT2017
GF-ING-00248,F019,"Yam, wild","Washing, Trimming, Peeling",0.7166666667,SRC-IFCT2017
GF-ING-00249,G001,"Chillies, green-1","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00250,G002,"Chillies, green-2","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00251,G003,"Chillies, green-3","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00252,G004,"Chillies, green-4","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00253,G005,"Chillies, green-5","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00254,G006,"Chillies, green-6","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00255,G007,"Chillies, green-7","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00256,G008,"Chillies, green - all varieties","Washing, Stem removal (optional: deseeding)",0.8966666667,SRC-IFCT2017
GF-ING-00257,G009,Coriander leaves,"Washing, Root trimming",0.8083333333,SRC-IFCT2017
GF-ING-00258,G010,Curry leaves,"Washing, Minimal stem removal",0.8233333333,SRC-IFCT2017
GF-ING-00259,G011,"Garlic, big cloves",Peeling,0.8333333333,SRC-IFCT2017
GF-ING-00260,G012,"Garlic, small cloves",Peeling,0.8333333333,SRC-IFCT2017
GF-ING-00261,G013,"Garlic, single clove, Kashmir",Peeling,0.8333333333,SRC-IFCT2017
GF-ING-00262,G014,"Ginger, fresh","Washing, Peeling",0.85,SRC-IFCT2017
GF-ING-00263,G015,Mango ginger,"Washing, Peeling",0.85,SRC-IFCT2017
GF-ING-00264,G016,Mint leaves,"Washing, Minimal stem removal",0.8083333333,SRC-IFCT2017
GF-ING-00265,G017,"Onion, big","Peeling, Trimming ends",0.85,SRC-IFCT2017
GF-ING-00266,G018,"Onion, small","Peeling, Trimming ends",0.85,SRC-IFCT2017
GF-ING-00267,G019,Asafoetida,,1.0,SRC-IFCT2017
GF-ING-00268,G020,"Cardamom, green",,1.0,SRC-IFCT2017
GF-ING-00269,G021,"Cardamom, black",,1.0,SRC-IFCT2017
GF-ING-00270,G022,"Chillies, red","Washing, Stem removal (optional: deseeding)",0.9133333333,SRC-IFCT2017
GF-ING-00271,G023,Cloves,,1.0,SRC-IFCT2017
GF-ING-00272,G024,Coriander seeds,Washing (optional),0.9925,SRC-IFCT2017
GF-ING-00273,G025,Cumin seeds,Washing (optional),0.9925,SRC-IFCT2017
GF-ING-00274,G026,Fenugreek seeds,Washing (optional),0.9925,SRC-IFCT2017
GF-ING-00275,G027,Mace,,1.0,SRC-IFCT2017
GF-ING-00276,G028,Nutmeg,,1.0,SRC-IFCT2017
GF-ING-00277,G029,Omum,Washing (optional),0.9925,SRC-IFCT2017
GF-ING-00278,G030,Pippali,Washing (optional),0.9925,SRC-IFCT2017
