retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
2151.0,US-172225,L521,"Milk, buttermilk, fluid, whole",usda,260.0,62,4.88,3.21,3.31,4.88,0.0,1900.0,827.0,0.0,11.0,115.0,85.0,10.0,105.0,135.0,0.03,0.025,3.7,,0.004,,0.38,46.0,0.07,,1.3,0.3,,5.0,0.047,0.172,0.09,0.38,0.036,,5.0,0.0,7.0
2151.0,US-170877,L516,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",usda,1520.0,362,52.0,36.2,0.77,52.0,0.0,499.0,201.0,30.0,20.0,1260.0,968.0,110.0,535.0,1790.0,0.32,0.041,27.3,,,,4.08,6.0,0.0,,0.0,0.1,,50.0,0.415,1.55,0.951,3.57,0.361,,50.0,6.8,1.0
2203.0,US-851134,H505,"MIXED NUTS CASHEWS, ALMONDS, HAZELNUTS, PISTACHIOS, PECANS, MIXED NUTS",usda,2539.688,607,25.0,17.86,50.0,3.57,7.1,7140.0,,,,143.0,,,286.0,714.0,5.36,,,,,,,,,,,,,,,,,,,,,,
,US-711552,G541,MSG MONOSODIUM GLUTAMATE,usda,0.0,0,0.0,0.0,0.0,,,,,,,,,,12500.0,,,,,,,,,,,,,,,,,,,,,,,,
,US-461985,X514,MUSTARD SAUCE,usda,2690.312,643,3.57,3.57,71.43,0.0,0.0,12500.0,,,89.0,0.0,,,714.0,,1.29,,,,,,0.0,0.357,,,,,,,,,,,,,,0.0,
2203.0,US-170174,H508,"Nuts, coconut water (liquid from coconuts)",usda,79.0,19,3.71,0.72,0.2,2.61,1.1,176.0,8.0,2.0,0.0,24.0,20.0,25.0,105.0,250.0,0.29,0.04,1.0,,0.142,,0.1,0.0,0.0,,,0.0,,3.0,0.03,0.057,0.08,0.043,0.032,,3.0,2.4,0.0
,US-172337,T510,"Oil, mustard",usda,3700.0,884,0.0,0.0,100.0,,0.0,11600.0,59200.0,21200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
151.0,US-169103,G552,"Orange peel, raw",usda,405.0,97,25.0,1.5,0.2,,10.6,24.0,36.0,40.0,0.0,161.0,21.0,22.0,3.0,212.0,0.8,0.092,1.0,,,,0.25,0.0,0.25,,,,,30.0,0.12,0.09,0.9,0.49,0.176,0.0,30.0,136.0,
151.0,US-168576,G549,"Peppers, jalapeno, raw",usda,119.0,29,6.5,0.91,0.37,4.12,2.8,92.0,29.0,112.0,0.0,12.0,26.0,15.0,3.0,248.0,0.25,0.046,0.4,,0.097,,0.14,0.0,3.58,,,18.5,,27.0,0.04,0.07,1.28,0.315,0.419,0.0,27.0,119.0,1594.0
3776.0,US-395417,D507,PITTED BLACK OLIVES,usda,556.472,133,6.67,0.0,13.33,0.0,0.0,3330.0,,,0.0,0.0,,,800.0,,4.8,,,,,,,,,,,,,,,,,,,,,0.0,
151.0,US-167755,E513,"Raspberries, raw",usda,220.0,52,11.9,1.2,0.65,4.42,6.5,19.0,64.0,375.0,0.0,25.0,29.0,22.0,1.0,151.0,0.69,0.09,0.2,,0.67,,0.42,0.002,0.87,,,7.8,,21.0,0.032,0.038,0.598,0.329,0.055,,21.0,26.2,164.0
,US-499035,G543,RICE VINEGAR,usda,0.0,0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504.0,US-585551,B511,ROASTED CHICKPEAS,usda,1196.624,286,60.71,17.86,7.14,3.57,21.4,0.0,,,0.0,36.0,,,679.0,821.0,4.64,,,,,,0.0,,,,,,,,,,,,,,,,
2203.0,US-170149,H503,"Seeds, lotus seeds, dried",usda,1390.0,332,64.5,15.4,1.97,,,330.0,388.0,1170.0,0.0,163.0,626.0,210.0,5.0,1370.0,3.53,0.35,,,2.32,,1.05,0.0,,,,,,104.0,0.64,0.15,1.6,0.851,0.629,,104.0,0.0,
,US-400113,G535,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",usda,1506.24,360,90.0,0.0,0.0,0.0,20.0,0.0,,,0.0,200.0,,,3000.0,,0.0,,,,,,,,,,,,,,,,,,,,,12.0,
,US-1097906,L514,"Sour cream, regular",usda,828.432,198,4.63,2.44,19.35,3.41,0.0,10140.0,4594.0,800.0,59.0,101.0,76.0,10.0,31.0,125.0,0.07,0.018,3.7,,,,0.33,121.0,0.38,,,1.5,,6.0,0.02,0.168,0.093,,0.041,,6.0,0.9,30.0
504.0,US-174270,B508,"Soybeans, mature seeds, raw",usda,1870.0,446,30.2,36.5,19.9,7.33,9.3,2880.0,4400.0,11300.0,0.0,277.0,704.0,280.0,2.0,1800.0,15.7,1.66,17.8,,2.52,,4.89,0.0,0.85,,,47.0,,375.0,0.874,0.87,1.62,0.793,0.377,,375.0,6.0,13.0
,US-171327,G555,"Spices, onion powder",usda,1430.0,341,79.1,10.4,1.04,6.63,15.2,219.0,202.0,310.0,0.0,384.0,322.0,113.0,73.0,985.0,3.9,0.59,14.3,,1.3,,4.05,0.0,,,,4.1,,64.0,0.457,0.08,0.321,0.732,0.718,,64.0,23.4,0.0
,US-384277,G537,STAR ANISE,usda,0.0,0,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,US-490013,W505,STRAWBERRY JAM,usda,941.4000000000001,225,60.0,0.0,0.0,35.0,0.0,0.0,,,0.0,5.0,,,0.0,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,US-468991,A512,"SWEET SUNNAH, WHOLE BLACK SEEDS NIGELLA SATIVA",usda,1673.6000000000001,400,50.0,16.67,33.33,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,0.0,
,US-695922,I511,"TUTTI FRUTTI GUMBALLS, TUTTI FRUTTI",usda,2092.0,500,100.0,0.0,0.0,66.67,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,US-173471,G544,Vanilla extract,usda,1200.0,288,12.6,0.06,0.06,12.6,0.0,10.0,10.0,4.0,0.0,11.0,6.0,12.0,9.0,148.0,0.12,0.072,0.0,,0.23,,0.11,0.0,0.0,,,0.0,,0.0,0.011,0.095,0.425,0.035,0.026,0.0,0.0,0.0,0.0
,US-172237,G538,"Vinegar, distilled",usda,76.0,18,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,2.0,0.03,0.006,0.5,,0.055,,0.01,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,US-170885,L517,"Whey, acid, fluid",usda,100.0,24,5.12,0.76,0.09,5.12,0.0,57.0,25.0,4.0,1.0,103.0,78.0,10.0,48.0,143.0,0.08,0.03,1.8,,0.002,,0.43,2.0,0.0,,,0.0,,2.0,0.042,0.14,0.079,0.381,0.042,,2.0,0.1,
301.0,US-534237,U507,WHITE HAMBURGER BUNS,usda,1071.104,256,48.84,9.3,3.49,6.98,2.3,0.0,0.0,2330.0,0.0,47.0,,,465.0,,2.51,,,,,,,,,,,,,93.0,1.0,0.316,4.651,,,,93.0,0.0,
301.0,US-492422,U508,WHOLE WHEAT HAMBURGER BUNS,usda,1025.08,245,45.28,11.32,3.77,5.66,5.7,0.0,0.0,1890.0,0.0,75.0,,,453.0,,2.04,,,,,,0.0,0.0,,,,,,0.0,0.0,0.128,3.019,0.0,,,0.0,0.0,
