recipe_food_id,ingredient_food_id,ingredient_name,quantity,quantity_unit,source_food_code,ingredient_name_original,amount_original,unit_original
GF-REC-00007,,"Fruit juice drink/squash, undiluted",2.0,tbsp,UK-17-738,Lemon squash,2,tbsp
GF-REC-00008,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint leaves,1,sprig
GF-REC-00008,,"Lemons, flesh only, raw, weighed with peel and pips",30.0,g,UK-14-130,Lemon juice,1,nos
GF-REC-00008,,"Sugar, white",3.0,tbsp,UK-17-063,Sugar,3,tbsp
GF-REC-00008,,Salt,0.25,tsp,UK-17-367,Salt,a,pinch
GF-REC-00008,,"Water, distilled",18.0,tbsp,UK-17-377,Crushed ice,6,cubes
GF-REC-00008,,"Water, distilled",1.5,C,UK-17-377,Water,1.5,cups
GF-REC-00009,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",15.0,g,G014,Ginger,15,g
GF-REC-00009,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint leaves,1,sprig
GF-REC-00009,,"Lemons, flesh only, raw, weighed with peel and pips",30.0,g,UK-14-130,Lemon juice,1,nos
GF-REC-00009,,"Sugar, white",3.0,tbsp,UK-17-063,Sugar,3,tbsp
GF-REC-00009,,Salt,0.25,tsp,UK-17-367,Salt,a,pinch
GF-REC-00009,,"Water, distilled",18.0,tbsp,UK-17-377,Crushed ice,6,cubes
GF-REC-00009,,"Water, distilled",1.5,C,UK-17-377,Water,1.5,cups
GF-REC-00010,GF-ING-00225,"Tamarind, pulp (Tamarindus indica)",10.0,g,E064,Tamarind (without seeds,10,g
GF-REC-00010,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",5.0,g,G014,Ginger,5,g
GF-REC-00010,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint leaves,few,
GF-REC-00010,GF-ING-00271,Cloves (Syzygium aromaticum),0.75,tsp,G023,Cloves,.75,tsp
GF-REC-00010,GF-ING-00273,Cumin seeds (Cuminum cyminum),1.5,tsp,G025,Zeera (roasted and powdered),1.5,tsp
GF-REC-00010,,"Cinnamon, ground",0.75,tsp,UK-13-874,Cinnamon,.75,tsp
GF-REC-00010,,"Lemons, flesh only, raw, weighed with peel and pips",17.5,g,UK-14-130,Lemon,.5,nos
GF-REC-00010,,"Sugar, white",1.0,tsp,UK-17-063,Sugar,1,tsp
GF-REC-00010,,Salt,1.5,tsp,UK-17-367,Salt,1.5,tsp
GF-REC-00010,,"Water, distilled",18.0,tbsp,UK-17-377,Ice,to chill,
GF-REC-00010,,"Water, distilled",1.5,C,UK-17-377,Water,1.5,cups
GF-REC-00010,,HIMALAYAN BLACK SALT,0.125,tsp,US-806241,Black salt,.125,tsp
GF-REC-00011,GF-ING-00175,"Cherries, red (Prunus cerasus)",5.0,g,E014,Canned cherries,1,
GF-REC-00011,GF-ING-00214,Pineapple (Ananas comosus),3.7,g,E053,Pineapple slice,.125,pieces
GF-REC-00011,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint leaves,1,sprig
GF-REC-00011,,"Ice cream, dairy, vanilla, soft scoop",50.0,ml,UK-12-508,Vanilla ice cream,50,ml
GF-REC-00011,,"Pineapple juice, unsweetened",60.0,ml,UK-14-286,Pineapple juice,60,ml
GF-REC-00011,,"Sugar, icing",1.0,tsp,UK-17-062,Castor sugar,1,tsp
GF-REC-00011,,"Water, distilled",16.5,tbsp,UK-17-377,Ice cubes,5 to 6,cubes
GF-REC-00011,,"Nuts, coconut water (liquid from coconuts)",60.0,ml,US-170174,Coconut water (Green coconut),60,ml
GF-REC-00012,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",12.66,g,G014,Ginger juice,1,inch
GF-REC-00012,GF-ING-00264,Mint leaves (Mentha spicata ),2.5,sprig,G016,Mint leaves,2 to 3,sprig
GF-REC-00012,,"Lemons, flesh only, raw, weighed with peel and pips",17.5,g,UK-14-130,Lemon juice,.5,lemon
GF-REC-00012,,"Orange juice, freshly squeezed",200.0,ml,UK-14-369,Orange juice,200,ml
GF-REC-00012,,Honey,1.0,tbsp,UK-17-050,Honey,1,tbsp
GF-REC-00012,,"Water, distilled",16.5,tbsp,UK-17-377,Crushed ice,5 to 6,cubes
GF-REC-00013,GF-ING-00312,"Milk, whole, Cow",0.75,C,L002,Milk,.75,cups
GF-REC-00013,,Cocoa powder,1.5,tsp,UK-12-545,Cocoa,1.5,tsp
GF-REC-00013,,"Sugar, white",2.0,tsp,UK-17-063,Sugar,2,tsp
GF-REC-00014,GF-ING-00312,"Milk, whole, Cow",0.5,C,L002,Milk,.5,cups
GF-REC-00014,,"Ice cream, dairy, vanilla, soft scoop",1.0,tbsp,UK-12-508,Ice cream,1,tbsp
GF-REC-00014,,"Sugar, white",2.0,tbsp,UK-17-063,Sugar,2,tbsp
GF-REC-00014,,"Coffee, powder, instant",1.5,tsp,UK-17-158,Coffee powder,1.5,tsp
GF-REC-00014,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes crushed,2 to 3,cubes
GF-REC-00014,,"Water, distilled",30.0,ml,UK-17-377,Water,30,ml
GF-REC-00015,GF-ING-00170,"Banana, ripe, montham (Musa x paradisiaca)",40.0,g,E009,Banana,40,g
GF-REC-00015,GF-ING-00312,"Milk, whole, Cow",0.75,C,L002,Milk,.75,cups
GF-REC-00015,,"Sugar, white",1.0,tbsp,UK-17-063,Sugar,1,tbsp
GF-REC-00015,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes,2 to 3,cubes
GF-REC-00015,,Vanilla extract,0.5,tsp,US-173471,Vanilla essence,few,drops
GF-REC-00016,GF-ING-00197,"Mango, ripe, banganapalli (Mangifera indica)",50.0,g,E036,Mango,50,g
GF-REC-00016,GF-ING-00312,"Milk, whole, Cow",0.75,C,L002,Milk,.75,cups
GF-REC-00016,,"Sugar, white",1.0,tbsp,UK-17-063,Sugar,1,tbsp
GF-REC-00016,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes,2 to 3,cubes
GF-REC-00016,,Vanilla extract,0.5,tsp,US-173471,Vanilla essence,few,drops
GF-REC-00017,,Pineapple Essesnce,0.5,tsp,,Pineapple Essesnce,few,drops
GF-REC-00017,GF-ING-00312,"Milk, whole, Cow",0.75,C,L002,Milk,.75,cups
GF-REC-00017,,"Pineapple juice, unsweetened",0.25,C,UK-14-286,Pineapple juice,.25,cups
GF-REC-00017,,"Sugar, white",1.0,tbsp,UK-17-063,Sugar,1,tbsp
GF-REC-00017,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes,2 to 3,cubes
GF-REC-00018,,Orange Essesnce,0.5,tsp,,Orange Essesnce,few,drops
GF-REC-00018,GF-ING-00312,"Milk, whole, Cow",0.75,C,L002,Milk,.75,cups
GF-REC-00018,,"Orange juice, freshly squeezed",1.0,tbsp,UK-14-369,Orange squash (or juice of 0.5 orange),1,tbsp
GF-REC-00018,,"Sugar, white",1.0,tbsp,UK-17-063,Sugar,1,tbsp
GF-REC-00018,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes,2 to 3,cubes
GF-REC-00019,GF-ING-00276,Nutmeg (Myristica fragrans),0.25,tsp,G028,Nutmeg,1,pinch
GF-REC-00019,GF-ING-00312,"Milk, whole, Cow",1.0,C,L002,Milk,1,cups
GF-REC-00019,GF-ING-00315,"Egg, poultry, whole, raw",50.0,g,M001,Egg,1,nos
GF-REC-00019,,"Sugar, white",1.0,tbsp,UK-17-063,Sugar,1,tbsp
GF-REC-00019,,Vanilla extract,0.5,tsp,US-173471,Vanilla essence,few,drops
GF-REC-00020,,"Yogurt, whole milk, plain",100.0,g,UK-12-184,Curds,100,g
GF-REC-00020,,"Sugar, white",20.0,g,UK-17-063,Sugar,20,g
GF-REC-00020,,"Water, distilled",13.5,tbsp,UK-17-377,Ice,4 to 5,cubes
GF-REC-00020,,"Water, distilled",0.5,C,UK-17-377,Water,.5,cups
GF-REC-00021,GF-ING-00273,Cumin seeds (Cuminum cyminum),0.125,tsp,G025,Jeera powder,.125,tsp
GF-REC-00021,,"Yogurt, whole milk, plain",100.0,g,UK-12-184,Curds,100,g
GF-REC-00021,,Salt,0.25,tsp,UK-17-367,Salt,.25,tsp
GF-REC-00021,,"Water, distilled",13.5,tbsp,UK-17-377,Ice,4 to 5,cubes
GF-REC-00021,,"Water, distilled",0.5,C,UK-17-377,Water,.5,cups
GF-REC-00022,GF-ING-00116,"Capsicum, green (Capsicum annuum)",20.0,g,D033,Capsicum,20,g
GF-REC-00022,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00022,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00022,,"Cheese, cottage, plain",20.0,g,UK-12-539,Cottage cheese (Paneer),20,g
GF-REC-00022,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00022,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00022,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00023,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00023,GF-ING-00315,"Egg, poultry, whole, raw",25.0,g,M001,Egg,.5,nos
GF-REC-00023,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00023,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,a,pinch
GF-REC-00023,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00023,,"Butter, unsalted",15.0,g,UK-17-661,Butter,15,g
GF-REC-00024,GF-ING-00126,"Cucumber, green, elongate (Cucumis sativus)",50.0,g,D043,Cucumber,50,g
GF-REC-00024,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00024,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00024,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00024,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00024,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00025,GF-ING-00214,Pineapple (Ananas comosus),20.0,g,E053,Pineapple slice,20,g
GF-REC-00025,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00025,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00025,,"Cheese, processed, plain",20.0,g,UK-12-527,Processed cheese,20,g
GF-REC-00025,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00025,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00025,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00026,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",25.0,g,D075,Tomato,25,g
GF-REC-00026,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00026,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00026,,"Cheese, processed, plain",20.0,g,UK-12-527,Cheese,20,g
GF-REC-00026,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00026,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00026,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00027,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00027,GF-ING-00332,"Chicken, poultry, breast, skinless",45.0,g,N003,Chicken (breast),40 to 50,g
GF-REC-00027,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00027,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00027,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00027,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00028,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",25.0,g,D075,Tomato,25,g
GF-REC-00028,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00028,GF-ING-00293,Ground nut (Arachis hypogea),25.0,g,H012,Peanuts,25,g
GF-REC-00028,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00028,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00028,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00028,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00029,GF-ING-00256,"Chillies, green - all varieties (Capsicum annum)",3.3,g,G008,Green chilli,1,nos
GF-REC-00029,GF-ING-00264,Mint leaves (Mentha spicata ),0.25,sprig,G016,Mint leaves,.25,bunch
GF-REC-00029,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00029,GF-ING-00312,"Milk, whole, Cow",1.0,tsp,L002,Milk,1,tsp
GF-REC-00029,,"Bread, white, average",120.0,g,UK-11-1145,Bread,4,slices
GF-REC-00029,,"Cheese, processed, plain",20.0,g,UK-12-527,Processed cheese,20,g
GF-REC-00029,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00029,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00029,,Salt,0.25,tsp,UK-17-367,Salt,.25,tsp
GF-REC-00029,,"Butter, unsalted",20.0,g,UK-17-661,Butter,20,g
GF-REC-00029,,Tomato ketchup,0.5,tbsp,UK-17-709,Tomato ketchup,.5,tbsp
GF-REC-00029,,"Mint sauce, homemade",0.5,tbsp,UK-17-811,Mint chutney,.5,tbsp
GF-REC-00029,,"SIVA'S, AMHUR POWDER (DRY MANGO POWDER)",0.25,tsp,US-400113,Amchur,.25,tsp
GF-REC-00030,GF-ING-00064,"Cabbage, green (Brassica oleracea var. capitata f. alba)",25.0,g,C015,Shredded cabbage,25,g
GF-REC-00030,GF-ING-00126,"Cucumber, green, elongate (Cucumis sativus)",50.0,g,D043,Cucumber,50,g
GF-REC-00030,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",50.0,g,D075,Tomato,50,g
GF-REC-00030,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00030,,"Bread, white, average",120.0,g,UK-11-1145,Bread,4,slices
GF-REC-00030,,"Cheese, processed, plain",30.0,g,UK-12-527,Cheese,1,slices
GF-REC-00030,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00030,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00030,,"Mayonnaise, standard, retail",1.0,tbsp,UK-17-654,Mayonnaise,1,tbsp
GF-REC-00030,,"Butter, unsalted",20.0,g,UK-17-661,Butter,20,g
GF-REC-00030,,Salami,40.0,g,UK-19-517,Salami,40,g
GF-REC-00031,GF-ING-00064,"Cabbage, green (Brassica oleracea var. capitata f. alba)",25.0,g,C015,Shredded cabbage,25,g
GF-REC-00031,GF-ING-00126,"Cucumber, green, elongate (Cucumis sativus)",50.0,g,D043,Cucumber,50,g
GF-REC-00031,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",50.0,g,D075,Tomato,50,g
GF-REC-00031,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00031,GF-ING-00305,"Button mushroom, fresh (Agaricus sp.)",20.0,g,J001,Mushroom,20,g
GF-REC-00031,,"Bread, white, average",120.0,g,UK-11-1145,Bread,4,slices
GF-REC-00031,,"Cheese, processed, plain",30.0,g,UK-12-527,Cheese,1,slices
GF-REC-00031,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00031,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00031,,"Mayonnaise, standard, retail",1.0,tbsp,UK-17-654,Mayonnaise,1,tbsp
GF-REC-00031,,"Butter, unsalted",20.0,g,UK-17-661,Butter,20,g
GF-REC-00032,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00032,GF-ING-00315,"Egg, poultry, whole, raw",50.0,g,M001,Egg,1,nos
GF-REC-00032,,"Bread, white, average",30.0,g,UK-11-1145,Fresh bread,1,slices
GF-REC-00032,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00032,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00032,,"Mayonnaise, standard, retail",2.0,tbsp,UK-17-654,Mayonnaise,2,tbsp
GF-REC-00033,GF-ING-00074,Lettuce (Lactuca sativa),24.0,g,C025,Lettuce leaf,1,nos
GF-REC-00033,GF-ING-00162,"Apple, big (Malus domestica)",25.0,g,E001,Red apple,25,g
GF-REC-00033,GF-ING-00218,"Raisins, dried, black (Vitis vinifera)",5.0,g,E057,Raisins,5,g
GF-REC-00033,GF-ING-00231,"Carrot, orange (Daucus carota)",25.0,g,F002,Carrot,25,g
GF-REC-00033,GF-ING-00279,"Pepper, black (Piper nigrum)",0.125,tsp,G031,Pepper,.125,tsp
GF-REC-00033,,"Bread, brown, toasted",60.0,g,UK-11-1136,Brown bread,2,slices
GF-REC-00033,,"Bread, white, average",30.0,g,UK-11-1145,White bread,1,slices
GF-REC-00033,,Salt,0.125,tsp,UK-17-367,Salt,.125,tsp
GF-REC-00033,,"Butter, unsalted",15.0,g,UK-17-661,Butter,15,g
GF-REC-00033,,"Cheese spread, cream cheese, regular",2.0,tsp,US-1098072,Cheese spread,2,tsp
GF-REC-00034,GF-ING-00126,"Cucumber, green, elongate (Cucumis sativus)",40.0,g,D043,Cucumber,2,slices
GF-REC-00034,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00034,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00034,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00034,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00034,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00034,,Tomato ketchup,0.5,tsp,UK-17-709,Tomato ketchup,.5,tsp
GF-REC-00034,,Salami,34.0,g,UK-19-517,Salami,2,slices (thin)
GF-REC-00035,GF-ING-00116,"Capsicum, green (Capsicum annuum)",16.7,g,D033,Shredded capsicum,16.7,g
GF-REC-00035,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",16.7,g,D075,Shredded tomato,16.7,g
GF-REC-00035,GF-ING-00231,"Carrot, orange (Daucus carota)",16.7,g,F002,Shredded carrots,16.7,g
GF-REC-00035,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00035,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00035,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00035,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00035,,"Mayonnaise, standard, retail",1.0,tbsp,UK-17-654,Mayonnaise,1,tbsp
GF-REC-00035,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00036,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",12.5,g,D075,Tomato,2,round slices
GF-REC-00036,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00036,GF-ING-00315,"Egg, poultry, whole, raw",25.0,g,M001,Egg (hard boiled),2,round slices
GF-REC-00036,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00036,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00036,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00036,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00036,,"Tomato sauce, homemade",0.5,tbsp,UK-50-1173,Tomato sauce,.5,tbsp
GF-REC-00037,GF-ING-00170,"Banana, ripe, montham (Musa x paradisiaca)",40.0,g,E009,Banana,40,g
GF-REC-00037,GF-ING-00218,"Raisins, dried, black (Vitis vinifera)",4.0,g,E057,Raisins,8,nos
GF-REC-00037,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00037,,"Sugar, icing",1.0,tsp,UK-17-062,Castor sugar,1,tsp
GF-REC-00037,,"Butter, unsalted",10.0,g,UK-17-661,Butter,10,g
GF-REC-00038,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00038,GF-ING-00305,"Button mushroom, fresh (Agaricus sp.)",50.0,g,J001,Mushroom,50,g
GF-REC-00038,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00038,,"Cheese, processed, plain",25.0,g,UK-12-527,Processed cheese,25,g
GF-REC-00038,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00038,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00038,,"Butter, unsalted",15.0,g,UK-17-661,Butter,15,g
GF-REC-00039,GF-ING-00158,"Tomato, ripe, hybrid (Solanum lycopersicum)",50.0,g,D075,Tomato,50,g
GF-REC-00039,GF-ING-00279,"Pepper, black (Piper nigrum)",0.25,tsp,G031,Pepper,to taste,
GF-REC-00039,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00039,,"Cheese, processed, plain",25.0,g,UK-12-527,Processed cheese,25,g
GF-REC-00039,,Mustard powder,0.25,tsp,UK-17-362,Mustard powder,1,pinch
GF-REC-00039,,Salt,0.25,tsp,UK-17-367,Salt,to taste,
GF-REC-00039,,"Butter, unsalted",15.0,g,UK-17-661,Butter,15,g
GF-REC-00040,GF-ING-00144,"Peas, fresh (Pisum sativum)",20.0,g,D061,Peas (shelled),20,g
GF-REC-00040,GF-ING-00235,"Potato, brown skin, big (Solanum tuberosum)",80.0,g,F006,Potato,80,g
GF-REC-00040,GF-ING-00256,"Chillies, green - all varieties (Capsicum annum)",1.67,g,G008,Green chilli,.5,nos
GF-REC-00040,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",6.33,g,G014,Ginger,.5,inch
GF-REC-00040,GF-ING-00273,Cumin seeds (Cuminum cyminum),0.25,tsp,G025,Cumin seeds,.25,tsp
GF-REC-00040,,"Bread, white, average",60.0,g,UK-11-1145,Bread,2,slices
GF-REC-00040,,Chilli powder,0.125,tsp,UK-13-873,Red chilli powder,.125,tsp
