food_id,source_id,source_record_id,source_name,food_group,region_code,scientific_name,source_tags
GF-ING-00030,SRC-IFCT2017,B006,"Cowpea, white",Grain Legumes,1,Vigna catjang,vegetarian eggetarian fishetarian veg
GF-ING-00031,SRC-IFCT2017,B007,"Field bean, black",Grain Legumes,1,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00032,SRC-IFCT2017,B008,"Field bean, brown",Grain Legumes,1,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00033,SRC-IFCT2017,B009,"Field bean, white",Grain Legumes,5,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00034,SRC-IFCT2017,B010,"Green gram, dal",Grain Legumes,6,Vigna radiata,vegetarian eggetarian fishetarian veg
GF-ING-00035,SRC-IFCT2017,B011,"Green gram, whole",Grain Legumes,6,Vigna radiata,vegetarian eggetarian fishetarian veg
GF-ING-00036,SRC-IFCT2017,B012,"Horse gram, whole",Grain Legumes,6,Dolicus biflorus,vegetarian eggetarian fishetarian veg
GF-ING-00037,SRC-IFCT2017,B013,"Lentil, dal",Grain Legumes,6,Lens culinaris,vegetarian eggetarian fishetarian veg
GF-ING-00038,SRC-IFCT2017,B014,"Lentil, whole, brown",Grain Legumes,6,Lens culinaris,vegetarian eggetarian fishetarian veg
GF-ING-00039,SRC-IFCT2017,B015,"Lentil, whole, yellowish",Grain Legumes,2,Lens culinaris,vegetarian eggetarian fishetarian veg
GF-ING-00040,SRC-IFCT2017,B016,Moth bean,Grain Legumes,6,Vigna aconitifolia,vegetarian eggetarian fishetarian veg
GF-ING-00041,SRC-IFCT2017,B017,"Peas, dry",Grain Legumes,6,Pisum sativum,vegetarian eggetarian fishetarian veg
GF-ING-00042,SRC-IFCT2017,B018,"Rajmah, black",Grain Legumes,2,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00043,SRC-IFCT2017,B019,"Rajmah, brown",Grain Legumes,6,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00044,SRC-IFCT2017,B020,"Rajmah, red",Grain Legumes,3,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00045,SRC-IFCT2017,B021,"Red gram, dal",Grain Legumes,6,Cajanus cajan,vegetarian eggetarian fishetarian veg
GF-ING-00046,SRC-IFCT2017,B022,"Red gram, whole",Grain Legumes,6,Cajanus cajan,vegetarian eggetarian fishetarian veg
GF-ING-00047,SRC-IFCT2017,B023,Ricebean,Grain Legumes,1,Vigna umbellata,vegetarian eggetarian fishetarian veg
GF-ING-00048,SRC-IFCT2017,B024,"Soya bean, brown",Grain Legumes,6,Glycine max,vegetarian eggetarian fishetarian veg
GF-ING-00049,SRC-IFCT2017,B025,"Soya bean, white",Grain Legumes,1,Glycine max Merr,vegetarian eggetarian fishetarian veg
GF-ING-00050,SRC-IFCT2017,C001,Agathi leaves,Green Leafy Vegetables,1,Sesbania grandiflora,vegetarian eggetarian fishetarian veg
GF-ING-00051,SRC-IFCT2017,C002,"Amaranth leaves, green",Green Leafy Vegetables,6,Amaranthus gangeticus,vegetarian eggetarian fishetarian veg
GF-ING-00052,SRC-IFCT2017,C003,"Amaranth leaves, red",Green Leafy Vegetables,1,Amaranthus gangeticus,vegetarian eggetarian fishetarian veg
GF-ING-00053,SRC-IFCT2017,C004,"Amaranth leaves, red and green",Green Leafy Vegetables,4,Amaranthus gangeticus,vegetarian eggetarian fishetarian veg
GF-ING-00054,SRC-IFCT2017,C005,"Amaranth, spinous, leaves, green",Green Leafy Vegetables,4,Amaranth spinosus,vegetarian eggetarian fishetarian veg
GF-ING-00055,SRC-IFCT2017,C006,"Amaranth, spinous, leaves, red and green",Green Leafy Vegetables,2,Amaranth spinosus,vegetarian eggetarian fishetarian veg
GF-ING-00056,SRC-IFCT2017,C007,Basella leaves,Green Leafy Vegetables,2,Basella alba,vegetarian eggetarian fishetarian veg
GF-ING-00057,SRC-IFCT2017,C008,Bathua leaves,Green Leafy Vegetables,2,Chenopodium album.,vegetarian eggetarian fishetarian veg
GF-ING-00058,SRC-IFCT2017,C009,Beetroot leaves,Green Leafy Vegetables,6,Beta vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00059,SRC-IFCT2017,C010,"Betel leaves, big (kolkata)",Green Leafy Vegetables,6,Piper betle,vegetarian eggetarian fishetarian veg
GF-ING-00060,SRC-IFCT2017,C011,"Betel leaves, small",Green Leafy Vegetables,4,Piper betle,vegetarian eggetarian fishetarian veg
GF-ING-00061,SRC-IFCT2017,C012,Brussels sprouts,Green Leafy Vegetables,1,Brassica oleracea var. gemmifera,vegetarian eggetarian fishetarian veg
GF-ING-00062,SRC-IFCT2017,C013,"Cabbage, Chinese",Green Leafy Vegetables,1,Brassica rupa,vegetarian eggetarian fishetarian veg
GF-ING-00063,SRC-IFCT2017,C014,"Cabbage, collard greens",Green Leafy Vegetables,1,Brassica oleracea var. Viridis,vegetarian eggetarian fishetarian veg
GF-ING-00064,SRC-IFCT2017,C015,"Cabbage, green",Green Leafy Vegetables,6,Brassica oleracea var. capitata f. alba,vegetarian eggetarian fishetarian veg
GF-ING-00065,SRC-IFCT2017,C016,"Cabbage, violet",Green Leafy Vegetables,2,Brassica oleracea var. capitata f. rubra,vegetarian eggetarian fishetarian veg
GF-ING-00066,SRC-IFCT2017,C017,Cauliflower leaves,Green Leafy Vegetables,6,Brassica oleracea var. botrytis,vegetarian eggetarian fishetarian veg
GF-ING-00067,SRC-IFCT2017,C018,"Colocasia leaves, green",Green Leafy Vegetables,6,Colocasia antiquorum,vegetarian eggetarian fishetarian veg
GF-ING-00068,SRC-IFCT2017,C019,Drumstick leaves,Green Leafy Vegetables,3,Moringa oleifera,vegetarian eggetarian fishetarian veg
GF-ING-00069,SRC-IFCT2017,C020,Fenugreek leaves,Green Leafy Vegetables,5,Trigonella foenum-graecum,vegetarian eggetarian fishetarian veg
GF-ING-00070,SRC-IFCT2017,C021,Garden cress,Green Leafy Vegetables,2,Lepidium sativum,vegetarian eggetarian fishetarian veg
GF-ING-00071,SRC-IFCT2017,C022,"Gogu leaves, green stem",Green Leafy Vegetables,4,Hibiscus cannabinus,vegetarian eggetarian fishetarian veg
GF-ING-00072,SRC-IFCT2017,C023,"Gogu leaves, red stem",Green Leafy Vegetables,1,Hibiscus cannabinus,vegetarian eggetarian fishetarian veg
GF-ING-00073,SRC-IFCT2017,C024,"Knol-Khol, leaves",Green Leafy Vegetables,2,Brassica oleracea,vegetarian eggetarian fishetarian veg
GF-ING-00074,SRC-IFCT2017,C025,Lettuce,Green Leafy Vegetables,3,Lactuca sativa,vegetarian eggetarian fishetarian veg
GF-ING-00075,SRC-IFCT2017,C026,Mustard leaves,Green Leafy Vegetables,3,Brassica juncea,vegetarian eggetarian fishetarian veg
GF-ING-00076,SRC-IFCT2017,C027,Pak Choi leaves,Green Leafy Vegetables,1,Brassica rapa var. chinensis,vegetarian eggetarian fishetarian veg
GF-ING-00077,SRC-IFCT2017,C028,Parsley,Green Leafy Vegetables,3,Petroselinum crispum,vegetarian eggetarian fishetarian veg
GF-ING-00078,SRC-IFCT2017,C029,Ponnaganni,Green Leafy Vegetables,2,Alternanthera sessilis,vegetarian eggetarian fishetarian veg
GF-ING-00079,SRC-IFCT2017,C030,"Pumpkin leaves, tender",Green Leafy Vegetables,6,Cucurbit maxima,vegetarian eggetarian fishetarian veg
GF-ING-00080,SRC-IFCT2017,C031,Radish leaves,Green Leafy Vegetables,6,Raphanus sativus,vegetarian eggetarian fishetarian veg
GF-ING-00081,SRC-IFCT2017,C032,Rumex leaves,Green Leafy Vegetables,2,Rumex patientia,vegetarian eggetarian fishetarian veg
GF-ING-00082,SRC-IFCT2017,C033,Spinach,Green Leafy Vegetables,6,Spinacia oleracea,vegetarian eggetarian fishetarian veg
GF-ING-00083,SRC-IFCT2017,C034,"Tamarind leaves, tender",Green Leafy Vegetables,3,Tamaridus indica,vegetarian eggetarian fishetarian veg
GF-ING-00084,SRC-IFCT2017,D001,Ash gourd,Other Vegetables,6,Benincasa hispida,vegetarian eggetarian fishetarian veg
GF-ING-00085,SRC-IFCT2017,D002,"Bamboo shoot, tender",Other Vegetables,1,Bambusa vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00086,SRC-IFCT2017,D003,"Bean scarlet, tender",Other Vegetables,5,Phaseolus coccineus,vegetarian eggetarian fishetarian veg
GF-ING-00087,SRC-IFCT2017,D004,"Bitter gourd, jagged, teeth ridges, elongate",Other Vegetables,6,Momordica charantia,vegetarian eggetarian fishetarian veg
GF-ING-00088,SRC-IFCT2017,D005,"Bitter gourd, jagged, teeth ridges, short",Other Vegetables,4,Momordica charantia,vegetarian eggetarian fishetarian veg
GF-ING-00089,SRC-IFCT2017,D006,"Bitter gourd, jagged, smooth ridges, elongate",Other Vegetables,1,Momordica charantia,vegetarian eggetarian fishetarian veg
GF-ING-00090,SRC-IFCT2017,D007,"Bottle gourd, elongate, pale green",Other Vegetables,6,Lagenaria vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00091,SRC-IFCT2017,D008,"Bottle gourd, round, pale green",Other Vegetables,5,Lagenaria vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00092,SRC-IFCT2017,D009,"Bottle gourd, elongate, dark green",Other Vegetables,1,Lagenaria vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00093,SRC-IFCT2017,D010,Brinjal 1,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00094,SRC-IFCT2017,D011,Brinjal 2,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00095,SRC-IFCT2017,D012,Brinjal 3,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00096,SRC-IFCT2017,D013,Brinjal 4,Other Vegetables,4,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00097,SRC-IFCT2017,D014,Brinjal 5,Other Vegetables,3,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00098,SRC-IFCT2017,D015,Brinjal 6,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00099,SRC-IFCT2017,D016,Brinjal 7,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00100,SRC-IFCT2017,D017,Brinjal 8,Other Vegetables,3,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00101,SRC-IFCT2017,D018,Brinjal 9,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00102,SRC-IFCT2017,D019,Brinjal 10,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00103,SRC-IFCT2017,D020,Brinjal 11,Other Vegetables,6,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00104,SRC-IFCT2017,D021,Brinjal 12,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00105,SRC-IFCT2017,D022,Brinjal 13,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00106,SRC-IFCT2017,D023,Brinjal 14,Other Vegetables,3,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00107,SRC-IFCT2017,D024,Brinjal 15,Other Vegetables,4,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00108,SRC-IFCT2017,D025,Brinjal 16,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00109,SRC-IFCT2017,D026,Brinjal 17,Other Vegetables,1,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00110,SRC-IFCT2017,D027,Brinjal 18,Other Vegetables,3,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00111,SRC-IFCT2017,D028,Brinjal 19,Other Vegetables,3,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00112,SRC-IFCT2017,D029,Brinjal 20,Other Vegetables,5,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00113,SRC-IFCT2017,D030,Brinjal 21,Other Vegetables,2,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00114,SRC-IFCT2017,D031,Brinjal - all varieties,Other Vegetables,6,Solanum melongena,vegetarian eggetarian fishetarian veg
GF-ING-00115,SRC-IFCT2017,D032,Broad beans,Other Vegetables,3,Vicia faba,vegetarian eggetarian fishetarian veg
GF-ING-00116,SRC-IFCT2017,D033,"Capsicum, green",Other Vegetables,6,Capsicum annuum,vegetarian eggetarian fishetarian veg
GF-ING-00117,SRC-IFCT2017,D034,"Capsicum, red",Other Vegetables,4,Capsicum annuum,vegetarian eggetarian fishetarian veg
GF-ING-00118,SRC-IFCT2017,D035,"Capsicum, yellow",Other Vegetables,4,Capsicum annuum,vegetarian eggetarian fishetarian veg
GF-ING-00119,SRC-IFCT2017,D036,Cauliflower,Other Vegetables,6,Brassica oleracea var. botrytis,vegetarian eggetarian fishetarian veg
GF-ING-00120,SRC-IFCT2017,D037,Celery stalk,Other Vegetables,3,Apium graveolens,vegetarian eggetarian fishetarian veg
GF-ING-00121,SRC-IFCT2017,D038,Cho-cho-marrow,Other Vegetables,4,Sechium edule,vegetarian eggetarian fishetarian veg
GF-ING-00122,SRC-IFCT2017,D039,Cluster beans,Other Vegetables,6,Cyamopsis tetragonobola,vegetarian eggetarian fishetarian veg
GF-ING-00123,SRC-IFCT2017,D040,"Colocasia, stem, black",Other Vegetables,1,Colocasia esculenta,vegetarian eggetarian fishetarian veg
GF-ING-00124,SRC-IFCT2017,D041,"Colocasia, stem, green",Other Vegetables,5,Colocasia esculenta,vegetarian eggetarian fishetarian veg
GF-ING-00125,SRC-IFCT2017,D042,"Corn, baby",Other Vegetables,6,Zea mays,vegetarian eggetarian fishetarian veg
GF-ING-00126,SRC-IFCT2017,D043,"Cucumber, green, elongate",Other Vegetables,6,Cucumis sativus,vegetarian eggetarian fishetarian veg
GF-ING-00127,SRC-IFCT2017,D044,"Cucumber, green, short",Other Vegetables,6,Cucumis sativus,vegetarian eggetarian fishetarian veg
GF-ING-00128,SRC-IFCT2017,D045,"Cucumber, orange, round",Other Vegetables,2,Cucumis sativus,vegetarian eggetarian fishetarian veg
GF-ING-00129,SRC-IFCT2017,D046,Drumstick,Other Vegetables,6,Moringa oleifera,vegetarian eggetarian fishetarian veg
GF-ING-00130,SRC-IFCT2017,D047,"Field beans, tender, broad",Other Vegetables,2,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00131,SRC-IFCT2017,D048,"Field beans, tender, lean",Other Vegetables,6,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00132,SRC-IFCT2017,D049,"French beans, country",Other Vegetables,5,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00133,SRC-IFCT2017,D050,"French beans, hybrid",Other Vegetables,2,Phaseolus vulgaris,vegetarian eggetarian fishetarian veg
GF-ING-00134,SRC-IFCT2017,D051,"Jack fruit, raw",Other Vegetables,5,Artocarpus heterophyllus,vegetarian eggetarian fishetarian veg
GF-ING-00135,SRC-IFCT2017,D052,"Jack fruit, seeds, mature",Other Vegetables,5,Artocarpus heterophyllus,vegetarian eggetarian fishetarian veg
GF-ING-00136,SRC-IFCT2017,D053,Knol - Khol,Other Vegetables,6,Brassica oleracea,vegetarian eggetarian fishetarian veg
GF-ING-00137,SRC-IFCT2017,D054,"Kovai, big",Other Vegetables,6,Coccinia cordifolia,vegetarian eggetarian fishetarian veg
GF-ING-00138,SRC-IFCT2017,D055,"Kovai, small",Other Vegetables,1,Coccinia cordifolia,vegetarian eggetarian fishetarian veg
GF-ING-00139,SRC-IFCT2017,D056,Ladies finger,Other Vegetables,6,Abelmoschus esculentus,vegetarian eggetarian fishetarian veg
GF-ING-00140,SRC-IFCT2017,D057,"Mango, green, raw",Other Vegetables,6,Mangifera indica,vegetarian eggetarian fishetarian veg
GF-ING-00141,SRC-IFCT2017,D058,"Onion, stalk",Other Vegetables,6,Allium wakegi,vegetarian eggetarian fishetarian veg
GF-ING-00142,SRC-IFCT2017,D059,"Papaya, raw",Other Vegetables,6,Carica papaya,vegetarian eggetarian fishetarian veg
GF-ING-00143,SRC-IFCT2017,D060,Parwar,Other Vegetables,6,Trichosanthes dioica,vegetarian eggetarian fishetarian veg
GF-ING-00144,SRC-IFCT2017,D061,"Peas, fresh",Other Vegetables,6,Pisum sativum,vegetarian eggetarian fishetarian veg
GF-ING-00145,SRC-IFCT2017,D062,"Plantain, flower",Other Vegetables,6,Musa sapientum,vegetarian eggetarian fishetarian veg
GF-ING-00146,SRC-IFCT2017,D063,"Plantain, green",Other Vegetables,6,Musa sapientum,vegetarian eggetarian fishetarian veg
GF-ING-00147,SRC-IFCT2017,D064,"Plantain, stem",Other Vegetables,6,Musa sapientum,vegetarian eggetarian fishetarian veg
GF-ING-00148,SRC-IFCT2017,D065,"Pumpkin, green, cylindrical",Other Vegetables,1,Cucurbita maxima,vegetarian eggetarian fishetarian veg
GF-ING-00149,SRC-IFCT2017,D066,"Pumpkin, orange, round",Other Vegetables,6,Cucurbita maxima,vegetarian eggetarian fishetarian veg
GF-ING-00150,SRC-IFCT2017,D067,"Red gram, tender, fresh",Other Vegetables,1,Cajanus cajan,vegetarian eggetarian fishetarian veg
GF-ING-00151,SRC-IFCT2017,D068,Ridge gourd,Other Vegetables,6,Luffa acutangula,vegetarian eggetarian fishetarian veg
GF-ING-00152,SRC-IFCT2017,D069,"Ridge gourd, smooth skin",Other Vegetables,3,Luffa acutangula,vegetarian eggetarian fishetarian veg
GF-ING-00153,SRC-IFCT2017,D070,"Snake gourd, long, pale green",Other Vegetables,6,Trichosanthes anguina,vegetarian eggetarian fishetarian veg
GF-ING-00154,SRC-IFCT2017,D071,"Snake gourd, long, dark green",Other Vegetables,2,Trichosanthes anguina,vegetarian eggetarian fishetarian veg
GF-ING-00155,SRC-IFCT2017,D072,"Snake gourd, short",Other Vegetables,1,Trichosanthes anguina,vegetarian eggetarian fishetarian veg
GF-ING-00156,SRC-IFCT2017,D073,"Tinda, tender",Other Vegetables,6,Praecitrullus fistulosus,vegetarian eggetarian fishetarian veg
GF-ING-00157,SRC-IFCT2017,D074,"Tomato, green",Other Vegetables,6,Solanum lycopersicum,vegetarian eggetarian fishetarian veg
GF-ING-00158,SRC-IFCT2017,D075,"Tomato, ripe, hybrid",Other Vegetables,6,Solanum lycopersicum,vegetarian eggetarian fishetarian veg
GF-ING-00159,SRC-IFCT2017,D076,"Tomato, ripe, local",Other Vegetables,6,Solanum lycopersicum,vegetarian eggetarian fishetarian veg
GF-ING-00160,SRC-IFCT2017,D077,"Zucchini, green",Other Vegetables,2,Cucurbita pepo,vegetarian eggetarian fishetarian veg
GF-ING-00161,SRC-IFCT2017,D078,"Zucchini, yellow",Other Vegetables,2,Cucurbita pepo,vegetarian eggetarian fishetarian veg
GF-ING-00162,SRC-IFCT2017,E001,"Apple, big",Fruits,6,Malus domestica,vegetarian eggetarian fishetarian veg
GF-ING-00163,SRC-IFCT2017,E002,"Apple, green",Fruits,6,Malus domestica,vegetarian eggetarian fishetarian veg
GF-ING-00164,SRC-IFCT2017,E003,"Apple, small",Fruits,6,Malus domestica,vegetarian eggetarian fishetarian veg
GF-ING-00165,SRC-IFCT2017,E004,"Apple, small, Kashmir",Fruits,1,Malus domestica,vegetarian eggetarian fishetarian veg
GF-ING-00166,SRC-IFCT2017,E005,"Apricot, dried",Fruits,6,Prunus armeniaca,vegetarian eggetarian fishetarian veg
GF-ING-00167,SRC-IFCT2017,E006,"Apricot, processed",Fruits,3,Prunus armeniaca,vegetarian eggetarian fishetarian veg
GF-ING-00168,SRC-IFCT2017,E007,Avocado fruit,Fruits,1,Persea  americana,vegetarian eggetarian fishetarian veg
GF-ING-00169,SRC-IFCT2017,E008,Bael fruit,Fruits,1,Aegle marmelos,vegetarian eggetarian fishetarian veg
GF-ING-00170,SRC-IFCT2017,E009,"Banana, ripe, montham",Fruits,1,Musa x paradisiaca,vegetarian eggetarian fishetarian veg
GF-ING-00171,SRC-IFCT2017,E010,"Banana, ripe, poovam",Fruits,2,Musa x paradisiaca,vegetarian eggetarian fishetarian veg
GF-ING-00172,SRC-IFCT2017,E011,"Banana, ripe, red",Fruits,1,Musa paradisiaca,vegetarian eggetarian fishetarian veg
GF-ING-00173,SRC-IFCT2017,E012,"Banana, ripe, robusta",Fruits,6,Musa x paradisiaca,vegetarian eggetarian fishetarian veg
GF-ING-00174,SRC-IFCT2017,E013,Black berry,Fruits,5,Rubus sp.,vegetarian eggetarian fishetarian veg
GF-ING-00175,SRC-IFCT2017,E014,"Cherries, red",Fruits,4,Prunus avium,vegetarian eggetarian fishetarian veg
GF-ING-00176,SRC-IFCT2017,E015,"Currants, black",Fruits,1,Ribes nigrum,vegetarian eggetarian fishetarian veg
GF-ING-00177,SRC-IFCT2017,E016,Custard apple,Fruits,1,Annona squamosa,vegetarian eggetarian fishetarian veg
GF-ING-00178,SRC-IFCT2017,E017,"Dates, dry, pale brown",Fruits,6,Phoenix dactylifera,vegetarian eggetarian fishetarian veg
GF-ING-00179,SRC-IFCT2017,E018,"Dates, dry, dark brown",Fruits,2,Phoenix dactylifera,vegetarian eggetarian fishetarian veg
GF-ING-00180,SRC-IFCT2017,E019,"Dates, processed",Fruits,2,Phoenix dactylifera,vegetarian eggetarian fishetarian veg
GF-ING-00181,SRC-IFCT2017,E020,Fig,Fruits,6,Ficus Carica,vegetarian eggetarian fishetarian veg
GF-ING-00182,SRC-IFCT2017,E021,Goosberry,Fruits,5,Emblica officinalis,vegetarian eggetarian fishetarian veg
GF-ING-00183,SRC-IFCT2017,E022,"Grapes, seeded, round, black",Fruits,4,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00184,SRC-IFCT2017,E023,"Grapes, seeded, round, green",Fruits,5,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00185,SRC-IFCT2017,E024,"Grapes, seeded, round, red",Fruits,5,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00186,SRC-IFCT2017,E025,"Grapes, seedless, oval, black",Fruits,5,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00187,SRC-IFCT2017,E026,"Grapes, seedless, round, green",Fruits,5,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00188,SRC-IFCT2017,E027,"Grapes, seedless, round, black",Fruits,5,Vitis vinifera,vegetarian eggetarian fishetarian veg
GF-ING-00189,SRC-IFCT2017,E028,"Guava, white flesh",Fruits,5,Psidium guajava,vegetarian eggetarian fishetarian veg
GF-ING-00190,SRC-IFCT2017,E029,"Guava, pink flesh",Fruits,5,Psidium guajava,vegetarian eggetarian fishetarian veg
GF-ING-00191,SRC-IFCT2017,E030,"Jack fruit, ripe",Fruits,5,Artocarpus heterophyllus,vegetarian eggetarian fishetarian veg
GF-ING-00192,SRC-IFCT2017,E031,"Jambu fruit, ripe",Fruits,2,Syzygium samarangense,vegetarian eggetarian fishetarian veg
GF-ING-00193,SRC-IFCT2017,E032,Karonda fruit,Fruits,1,Carissa carandas,vegetarian eggetarian fishetarian veg
GF-ING-00194,SRC-IFCT2017,E033,"Lemon, juice",Fruits,6,Citrus limon,vegetarian eggetarian fishetarian veg
GF-ING-00195,SRC-IFCT2017,E034,"Lime, sweet, pulp",Fruits,6,Citrus limetta,vegetarian eggetarian fishetarian veg
GF-ING-00196,SRC-IFCT2017,E035,Litchi,Fruits,4,Litchi chinensis,vegetarian eggetarian fishetarian veg
